Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Roland Owie,,Orhionmwon,28/08/45,"B.A in Geography, Cert in Personnel Mgt.",Bendel,1979 - 1983,house
Joel O. Abu,NPN,Bassa/Dekina,12/06/41,General Cert of Nursing,Benue,1979 - 1983,house
A. D. O. Abutu,NPN,Ankpa South,17/01/1937,,Benue,1979 - 1983,house
D. Afaityo,NPN,Okpokwu West,27/12/45,,Benue,1979 - 1983,house
David Okwoche Agi,NPN,Gboko East,31/12/46,,Benue,1979 - 1983,house
D. Y. Atanu,,Oju,,,Benue,1979 - 1983,house
David Attah,NPP,Okpokwu East,25/09/45,,Benue,1979 - 1983,house
P.D. Awuna,NPN,Gwer West,11/07/39,,Benue,1979 - 1983,house
Benjamin A. Chaha,NPN,Katsina-Ala,1940,Grade II & III Teacher's Certificate,Benue,1979 - 1983,house
E. Ejiga,NPN,Oturkpo,05/10/40,,Benue,1979 - 1983,house
S. I. Idakwo,NPN,Idah North,01/11/1936,,Benue,1979 - 1983,house
V. Iortim,NPN,Makurdi,1948,,Benue,1979 - 1983,house
Peter Kor,NPN,Makurdi,09/11/36,,Benue,1979 - 1983,house
Isaac Shaahu,,Kwande East,,,Benue,1979 - 1983,house
E. K. Swem,NPN,Kwande West,1927,,Benue,1979 - 1983,house
S. M. Tarka,NPN,Gboko West,23/08/53,,Benue,1979 - 1983,house
Joseph K. Ugo,NPN,Gwer East,31/12/43,Diploma in Law,Benue,1979 - 1983,house
A. Usman,,Ankpa North,,,Benue,1979 - 1983,house
J. U. Uyeh,NPN,Vandeikya East,20/04/32,,Benue,1979 - 1983,house
S. O. Adoyi,NPN,Okpokwu West,21/02/41,Diploma in Public Health,Benue,1979 - 1983,house
Abba Ali,GNPP,Bama,1932,,Borno,1979 - 1983,house
Bulama Ali,GNPP,Fune,10/12/48,,Borno,1979 - 1983,house
Ibrahim M. Ali,GNPP,Maiduguri,1948,,Borno,1979 - 1983,house
Gambo Alhaji,GNPP,Gujba,"May, 1922",,Borno,1979 - 1983,house
Agwana Apagu Waba,NPN,Askira Uba,18/10/46,,Borno,1979 - 1983,house
Umar Bukar,GNPP,Ngala East,1948,,Borno,1979 - 1983,house
Umar Lawan,GNPP,Geidam South,21/09/32,,Borno,1979 - 1983,house
Mohammed Dagari,GNPP,Nguru Central,"June, 1946",,Borno,1979 - 1983,house
Kachalla Damaturu,GNPP,Damaturu,,,Borno,1979 - 1983,house
Barde Gadaka,GNPP,Fika South,1948,Grade II Teacher Cert.,Borno,1979 - 1983,house
Jidda Haruna,GNPP,Monguno,April 1930,,Borno,1979 - 1983,house
Mohammed Zannah Juggal,,Dambo'a,1939,,Borno,1979 - 1983,house
Sanda Konduga,GNPP,Konduga,1936,,Borno,1979 - 1983,house
Tijani Lawan,GNPP,Ngala West,1949,,Borno,1979 - 1983,house
Bukar Limambe,GNPP,Kukawa North-West,"November, 1942",,Borno,1979 - 1983,house
Maina Ma'aji,GNPP,Kukawa South-West,12/07/1954,W.A.S.C. B.Sc (Bus. Admin),Borno,1979 - 1983,house
Audu Mbico,GNPP,Gwoza,1949,,Borno,1979 - 1983,house
M. Bukar Mele,GNPP,Matchina,15/05/53,"W.A.S.C, B.A in History & Pol. Science",Borno,1979 - 1983,house
Paul K. D. Mshelia,GNPP,Biu South,05/03/42,,Borno,1979 - 1983,house
Hamza M. Nganjiwa,GNPP,Biu North,1940,"B.A in Education, Grade II Teacher Cert.",Borno,1979 - 1983,house
Lawan Omar,GNPP,Kaga,21/09/32,,Borno,1979 - 1983,house
A. A. Suleiman,NPN,Bade,,,Borno,1979 - 1983,house
Idrissa Madi Tikau,,Fika North,,,Borno,1979 - 1983,house
Kolo Lawan Yusuf,GNPP,Geidam North,01/01/54,,Borno,1979 - 1983,house
Charles A. Adoga,NPN,Ogoja,13/03/1930,School Cert.,Cross River,1979 - 1983,house
Cornelius Okpa Agbor,NPN,Obubra I,31/04/41,B.A History,Cross River,1979 - 1983,house
Micheal J. Akpabio,GNPP,Uyo II,24/05/42,"LLB, BL",Cross River,1979 - 1983,house
A. U. Awa-Ekpo,NPN,Eket II,22/12/1937,"M. Sc, MPA",Cross River,1979 - 1983,house
Samuel Udo Bassey,,Eket II,,,Cross River,1979 - 1983,house
Okon E. Eddy,NPN,Ikot Ekpene I,30/09/39,,Cross River,1979 - 1983,house
Effiom-Ita Effiom,NPN,Odukpani,03/03/36,,Cross River,1979 - 1983,house
Okon John Ekpenyong,,Uyo I,,,Cross River,1979 - 1983,house
Edet Asuquo Ekpo,,Uyo III,1923,,Cross River,1979 - 1983,house
V. U. Ekpo,NPN,Ikot-Abasi I,05/05/33,,Cross River,1979 - 1983,house
D. O. Eshiet,,Ukanafun II,,,Cross River,1979 - 1983,house
Edet Bassey Etienam,NPN,Oron II,22/01/1939,Cert in Industrial Relation,Cross River,1979 - 1983,house
Thomas Ekpo Etuk,NPN,Eket III,26/06/35,,Cross River,1979 - 1983,house
Asuquo E. Eyo,NPN,Calabar,01/05/23,,Cross River,1979 - 1983,house
Imeh J. Ikpatt,NPN,Etinan,06/08/40,,Cross River,1979 - 1983,house
Okon Ikpeme,NPN,Akamkpa,12/08/1930,Teacher Higher Elementary Cert.,Cross River,1979 - 1983,house
Alfred A. Inoh,GNPP,Ikot Abasi II,15/01/46,"City & Guilds, Cert in Automobile Engineering.",Cross River,1979 - 1983,house
Edet Udo Umo,NPN,Ikono,09/10/31,,Cross River,1979 - 1983,house
Ekok Ojogu,NPN,Ikom,05/02/40,"Grade II & III Teacher's Cert, M.Sc Pol. Science",Cross River,1979 - 1983,house
Lekam Ofem Okoi,NPN,Obubra II,02/02/40,"L.L.B, B.L",Cross River,1979 - 1983,house
Effiong Ononokpono,UPN,Oron I,11/11/41,"Dip. Co-operative & Labour Mgt, Cert in Social Studies & Dev",Cross River,1979 - 1983,house
Martin O. Effiong,UPN,Oron III,12/06/45,Diploma in Agric,Cross River,1979 - 1983,house
Akaninyene Ukpanah,NPN,Ukanafun,12/08/1934,"NPS, Diploma Pharmacy",Cross River,1979 - 1983,house
David Akan Ukpong,NPN,Itu,1947,Teacher's Grade II Cert.,Cross River,1979 - 1983,house
M. B. Ukpong,NPN,Abak,29/09/1940,,Cross River,1979 - 1983,house
A. Akpan Umoren,NPN,Ikot Epene II,04/10/34,,Cross River,1979 - 1983,house
Emmanuel A. Utande,NPN,Obudu,20/02/43,"B.Sc, M.A, Ph.D",Cross River,1979 - 1983,house
Agya Agbujoro,NPN,Wukari,1940,Diploma in Education Planning & Admin,Gongola,1979 - 1983,house
Gbaaondo H. David,,Takum,1949,Teacher Grade II Cert.,Gongola,1979 - 1983,house
Hamman Diko,GNPP,Maiha,1939,,Gongola,1979 - 1983,house
Barnabas Falu,UPN,Guyuk,1931,,Gongola,1979 - 1983,house
Bello Dauda Furo,NPN,Fufore,01/01/1958,,Gongola,1979 - 1983,house
Hassan Gambo,NPN,Mayo-Balwa,,,Gongola,1979 - 1983,house
A. Sani Garkida,NPN,Gombi,1937,,Gongola,1979 - 1983,house
Aeneas M. G. Gowono,UPN,Numan,15/01/18,,Gongola,1979 - 1983,house
D. B. Kamai,GNPP,Jalingo,18/04/38,,Gongola,1979 - 1983,house
Abdul K. Lanko,UPN,Sawa,1935,,Gongola,1979 - 1983,house
Dikko Hamman-Liman,NPN,Bali,1939,,Gongola,1979 - 1983,house
B. M. Mabrama Jen,UPN,Karim Lamido,1936,Grade II Teacher's Cert.,Gongola,1979 - 1983,house
Pastor Magiri,NPP,Michika,1941,Graduate Business Admin,Gongola,1979 - 1983,house
Aliyu Mahmud,NPN,Yola,1929,,Gongola,1979 - 1983,house
Idris N. Medugu,,Madagali,,,Gongola,1979 - 1983,house
James M. Nzalak,GNPP,Gembu,1944,Grade II Teacher's Cert,Gongola,1979 - 1983,house
David Saraso,,Ganye,,,Gongola,1979 - 1983,house
Amos Sunday,GNPP,Song,1943,Advance Cert. In Education,Gongola,1979 - 1983,house
Dominic Vontih Yakoko,UPN,Zing,1939,Diploma (General Admin),Gongola,1979 - 1983,house
B. D. Wahu,GNPP,Mubi,1950,,Gongola,1979 - 1983,house
David H. Gba' Aondo,GNPP,Takum,1949,,Gongola,1979 - 1983,house
Iliyasu Hong,GNPP,Hong,,,Gongola,1979 - 1983,house
Agwu N. Agwu,NPP,Ohaozara,08/06/1942,,Imo,1979 - 1983,house
Sam O. Alu,NPN,Afikpo,17/04/38,,Imo,1979 - 1983,house
P. C. Amadi,NPP,Owerri North,24/06/37,,Imo,1979 - 1983,house
T. C. Amasiatu,NPP,Oru,10/03/38,,Imo,1979 - 1983,house
G. I. Anukwuem,NPP,Ihitte Uboma,22/06/30,,Imo,1979 - 1983,house
E. O. Chukwu,NPP,Okigwe North,21/11/1939,,Imo,1979 - 1983,house
Paulnus U. Chukwu,NPP,Ohaji Egbema Ogutta,06/02/1932,Std VI,Imo,1979 - 1983,house
E. C. Ebo,NPP,Mbano East,25/12/1930,,Imo,1979 - 1983,house
J. E. Egburuche,NPP,Agbaja/Ururu,05/06/25,,Imo,1979 - 1983,house
Paul O. Eleke,NPP,Obowo,05/05/25,Dip in Physical & Health Education,Imo,1979 - 1983,house
Clement Erondu,NPP,Obima Ngwa,,,Imo,1979 - 1983,house
S. M. O. Ihekweazu,NPP,Nkwerre/Amaigbo,10/09/37,Career Nurse,Imo,1979 - 1983,house
A. O. Imo,NPP,Ezinihitte,1928,,Imo,1979 - 1983,house
Jonas O. Iwuagwu,NPP,Mbano West,03/11/38,,Imo,1979 - 1983,house
Empire Ndukaka Kanu,NPP,Ikwuano Umuahia,23/05/42,"HND Bus. Studies, Diploma Purchasing & Supply",Imo,1979 - 1983,house
Appolos N. Njoku,NPP,Isiala Ngwa,21/11/38,,Imo,1979 - 1983,house
V. O. Nnaji,NPP,Isu,,,Imo,1979 - 1983,house
S. U. Wanganga,NPP,Aba,01/07/42,,Imo,1979 - 1983,house
Cletus Nwokoro,NPP,Okigwe-South,19/09/34,,Imo,1979 - 1983,house
Kevin Nwosu,NPP,Orlu,10/11/34,,Imo,1979 - 1983,house
Isidore Obasi,NPP,Ahiazu Mbaise,02/12/35,,Imo,1979 - 1983,house
Chikwe H. Obihara,NPP,Owerri South,30/11/27,B.Sc Chemistry,Imo,1979 - 1983,house
K. R. Obioha,NPP,Ideato,,,Imo,1979 - 1983,house
T. N. Ochiama,NPP,Ikeduru,,,Imo,1979 - 1983,house
Ogwe Kalu Ogwe,NPP,Bendel,31/12/36,"L.L.B, B.L, Diploma in Bus. Org & Management",Imo,1979 - 1983,house
Michael Amaehchi Oje,NPP,Ohaozara West,10/06/37,Sch. Cert,Imo,1979 - 1983,house
Oke U. Oke,NPP,Ohafia,18/09/38,,Imo,1979 - 1983,house
Onwuka O. Oreh,NPN,Arochukwu,08/08/38,,Imo,1979 - 1983,house
E. D. N. Uwandu,NPP,Mbaitoli,27/11/34,,Imo,1979 - 1983,house
H. M. J. Wachuku,NPP,Ukwa,25/10/1925,,Imo,1979 - 1983,house
Saleh Abba,PRP,Zaria-North-East,,,Kaduna,1979 - 1983,house
B. Abdullahi,PRP,Tsagero,20/05/37,,Kaduna,1979 - 1983,house
Gambo Abubakar,NPN,Dutsinma,02/05/50,,Kaduna,1979 - 1983,house
Manzo Abubakar,NPN,Daura East,26/06/25,,Kaduna,1979 - 1983,house
Umaru Alti,NPN,Mashi Dutsi,1948,,Kaduna,1979 - 1983,house
Yufusu Bindawa,NPN,Bindawa,1936,,Kaduna,1979 - 1983,house
L. N. Daura,NPN,Daura West,14/02/33,,Kaduna,1979 - 1983,house
Ibrahim Hayin-Gada,PRP,Bakori,25/02/34,,Kaduna,1979 - 1983,house
M. A. Gajere,NPN,Kachia,1940,Diploma in Education,Kaduna,1979 - 1983,house
Rilwanu Garba,NPN,Musawa,,,Kaduna,1979 - 1983,house
Dabo Bujawa,NPN,Mani,05/03/30,,Kaduna,1979 - 1983,house
I. C. Ibrahim,NPN,Jama'a South,20/11/43,,Kaduna,1979 - 1983,house
Sule Ibrahim,NPN,Rimi Batagarawa,24/03/44,,Kaduna,1979 - 1983,house
Sanusi Imam,NPN,Kankiya,12/06/39,,Kaduna,1979 - 1983,house
Aliyu Isa,PRP,Makarfi,02/06/40,,Kaduna,1979 - 1983,house
Tanko Jaji,PRP,Zaria-North-West,25/01/28,,Kaduna,1979 - 1983,house
Mohammadu Ali Kaita,NPN,Kaita,02/02/44,,Kaduna,1979 - 1983,house
