Name,Party,Constituency,Date of Birth,Education,State
Ugokwe Jerry Sonny,PDP,Idemili North/South,14/04/1957,"Doctoral Degree, Ph.D in Urban Housing Policy & Implementation",Anambra
Anosike Emma Obiajulu,PDP,Anambra East/West,28/12/1961,B.Sc in Education,Anambra
Ughanze C. Nnaemeka,PDP,Oyi/Ayamelum,02/08/1958,Bachelor of Law Degree,Anambra
Okechukwu Udeh,PDP,Orumba North/South,01/07/1956,Medical Degree,Anambra
Efobi Bertrand Maduka,PDP,Nnewi North/South/ Ekwusigo,11/11/1942,Bachelor Degree in Economics,Anambra
Abdulahi Usman Matori,APP,Bauchi,10/10/1952,"HND, Undergoing Post-Graduate Studies",Bauchi
Ibrahim Zailani,APP,Toro,10/11/1957,Bachelor of Degree,Bauchi
Abdul Ahmed Ningi,PDP,Ningi/Wanji,20/04/1960,BS.c in Sociology,Bauchi
Dikko Moh. Samaila,PDP,Alkaler/Kirfi,15/04/1957,Bachelor Degree in Education,Bauchi
Mohammed Ibrahim,PDP,Gamawa,06/06/1953,HND in Administration,Bauchi
Dauda Garba Bundot,PDP,Bogoro/Dass/Tafawa Balewa,10/10/1963,Bachelor Degree in Accountancy,Bauchi
Adamu M. Bulkachuwa,PDP,Katagum,16/04/1940,Post Graduate Diploma in Public Administration,Bauchi
Bala Abdullahi,PDP,Misan/Dambam,19/07/1962,NCE in English and Hausa,Bauchi
Isa Hassan M.,,"Jama'are/Das, Gadau",30/09/1964,BS.c in Economics,Bauchi
Saleh Mohammed,PDP,Darazo/Ganjuwa,15/06/1953,Bachelor of Education,Bauchi
Hamisu Mu'azu Shira,PDP,Shira/Giade,10/10/1959,Bachelor of Science in Business Administration,Bauchi
Abdullahi Adamu,APP,Zaki,,,Bauchi
Ipigansi Graham,ANPP,Ogbia,23/12/1957,HND,Bayelsa
Andie Clement,PDP,Sagbama/Ekeremor,23/07/1963,B.Sc Banking and Finance,Bayelsa
Okoto Foster Bruce,PDP,Southern Ijaw,05/05/1969,B.Sc in Sociology,Bayelsa
Dieworio Wilson Wuku,PDP,Brass/Nembe,01/12/1961,Bachelor of Law Degree,Bayelsa
Epengule M. Torukurobo,PDP,Bayelsa Central,16/01/1961,WAEC,Bayelsa
Zakarie A. Malherbe,APP,Buruku,17/04/1940,Diploma in Police Management Science,Benue
Ikerave Goddy Igbaraav,PDP,Gwer/Gwer West,12/08/1950,Diploma in Journalism and HND International Advance Diploma in Journalism,Benue
Tachia Jooji,PDP,Vandeikya/Konshisha,27/08/1946,Bachelor Degree in English,Benue
Samuel Onazi Obande,PDP,Ado/Ogbadiggba/ Okpokwu,10/10/1964,Bachelor Degree in Building Management,Benue
Tsegba Terngu,PDP,Gboko/Tarka,04/03/1963,Post Graduate Diploma in Management,Benue
Solomon Umoru Agidani,PDP,Apa/Aguta,12/12/1958,Masters Degree in Construction Technology,Benue
Moses A. Tor Gbande,PDP,Kwande/Ushongo,26/08/1948,Bachelors Degree and Post Graduate in Diploma in Business Admin.,Benue
Cletus Tivnongu K. Upaa,PDP,Makurdi/Guma,20/07/1948,A.C.C.A (Level II),Benue
Altine Oga Idikwu,PDP,Igede (Oju/Obi),04/01/1960,Ordinary National Diploma,Benue
Suswam Gabriel Torwua,PDP,Katsina-Ala/Ukum/Logo,15/11/1964,Bachelor of Law Degree,Benue
Mohammed S. Daggash,PDP,"Marte, Mongoro, Nganzai",22/12/1960,Master of Science Degree in Architecture,Borno
Abubakar Kyari,APP,Mobbar/Abadam/ Kukawa/Guzamala,15/01/1963,MBA in Finance,Borno
Mustafa Alkali Gajibo,APP,Dikwa/Mafa/ Konguga,15/02/1950,Bachelor Degree in Electrical Consultant and Construction Engineer,Borno
Mohammed U. Kumalia,APP,Maiduguri Metropolitan,06/09/1967,Bachelors Degree in Law,Borno
Mohammed M. Damcida,PDP,Biu/Shani/Bayo/K.Kusar,1952,Bachelors Degree,Borno
Stanley Dika Ngada,PDP,Askira UBA/Hawul,21/05/1951,"Bachelor Degree of Law Degree (LL.M, B.L.)",Borno
Mohammed Wakil,PDP,Damboa/Gwoza Chibok,1965,"A Law Degree-LL.B, (Hons)",Borno
Shettima Shehu,APP,Kaga/ Gugbio/Magumari,28/10/1962,Bachelor of Science in Business Administration,Borno
Babagoni Bolori,APP,Jere,02/01/1969,National Diploma,Borno
Babagana Tijjani,APP,Bama/Ngala/Kala-Balge,1962,A.D.P.A.,Borno
Ebuta Amba Tangban,PDP,Obubra/Etung,,Master Degree (MSC) in Architecture,Cross River
Obeten Okorn Obeten,PDP,Yakurr/Abi,08/10/1956,Bachelor of Law Degree,Cross River
Alobi Odey Nyambi,PDP,Ikom/Boki,20/05/1952,Doctor of Medicine Degree,Cross River
Agbor Patric Okon,APP,Akamkpa/Biase,20/10/1952,Higher National Diploma in Agriculture,Cross River
Patrick Ene Okon,APP,Akpabuyo/Bakassi/ Calabar,06/04/1960,Master of Science in Public Relations,Cross River
Mike O. Ogar,APP,Bekwarra/Obaniliku,17/07/1962,Doctor Degree (PH.D) in City & Regional Planning,Cross River
Igbodor Peter Leja,APP,Ogoja/Iyala,17/07/1962,Bachelor Degree in Political Science & Public Admin.,Cross River
Nya Eyoma Asuquo,APP,Calabar Municipality Odukpani,,Doctoral Degree in Political Economy,Cross River
Aguariavwodo E. Edesiri,APP,Ughelli North/South/ Udo,08/12/1957,Bachelor Degree in Econs,Delta
John Halims O. Agoda,APP,Ethiope,01/01/1962,"Bachelor of Law Degree, LL.B",Delta
Agbeotu E. Emibra,APP,Burutu,03/03/1961,Master Degree in Environmental Management,Delta
Temi Harriman,APP,Warri,01/01/1963,Bachelor of Law Degree,Delta
Nduka Irabor,PDP,Ika,09/12/1958,Higher Diploma in Advance Journalism,Delta
Gabriel M. Dumi,PDP,Okpe/Sapele/Uvwie,10/10/1940,Bachelor of Law Degree & LL.B,Delta
Mercy Almona-Isei,PDP,Ndokwa/Ukwani,24/08/1951,Diploma in Mass Comm.,Delta
Efekodha A. Onomuefe,PDP,Isoko North/ Isoko South,12/04/1947,Bachelor Degree in Mechanical Engineering,Delta
Ned Munir Nwoko,PDP,"Aniocha North/South, Oshimili North & South",21/12/1960,Barrister at Law,Delta
Solo Ogoh,PDP,Bomadi/Patani,,,Delta
Agwu O. Nnachi,PDP,Afikpo North/South,24/05/1964,PH.D Electrical Engineering,Ebonyi
Ogodo Patience Uwa,PDP,Ebonyi Ohaukwu,18/11/1958,NCE Certificate,Ebonyi
Onwe Peter Sunday,PDP,Ishielu/Ezza North,20/05/1964,School Certificate,Ebonyi
Kelechi Les Chima,PDP,Ebonyi,12/08/1965,Master's Degree in Architecture,Ebonyi
Elem Mwigboji Francis,,Ezza South/Ikwo,15/07/1962,Bachelor Degree in Statistics,Ebonyi
Alexander Nwofe,PDP,Abakaliki,15/08/1961,Barrister at Law,Ebonyi
Lakoju J. Babatunde,APP,Akoko-Edo,19/05/1947,Doctoral Degree in Ed.,Edo
Alegbe Benson,PDP,Owan East & West,06/06/1934,Bachelors Degree in Law,Edo
Aziegbemi Anthony,PDP,Esan North-East/ Esan South-East,06/09/1958,PH.D Economics,Edo
Odubu E. Pius,PDP,Orhionmwon/ Uthmwode,01/07/1957,Doctor or Jurisprudence in Law,Edo
Sunday I. Aguebor,PDP,Egor & Ikpoba-Okha Esan South East,10/10/1957,"Primary, Secondary & OND",Edo
Ogbeide Enoma Willie,PDP,Oredo,21/04/1953,Medical Degree,Edo
Oiboh Gabriel Ehinmen,PDP,Esan Central/Esan West/ Igueben,16/11/1953,Bachelor of Pharmacy Degree,Edo
Ehiogie West-Idahosa,PDP,Ovia South/West-Ovia North/East,18/01/1963,Bachelor of Law Degree,Edo
Augustine U. Obozuwa,PDP,Etsako East/West/Central,16/12/1941,Bachelor of Law Degree,Edo
,,,,,Ekiti
Ogunsanmi Owoola,AD,Ekiti North II,24/09/1943,"Bachelor Degree in Building Engineering, P.G. in Engineering Admin.",Ekiti
Ojo Olusegun,AD,Ekiti North I,21/10/1957,Master Degree in Agric Economics and Mgt.,Ekiti
Joseph Aderemi Ajayi,AD,Ekiti South I,02/04/1944,Bachelor Degree in Sociology,Ekiti
Francis Oluyemi Aladejebi,AD,Ekiti South II,21/06/1950,Bachelor Degree in Electrical Engineering,Ekiti
Fajura Charles Adedayo,AD,Ekiti Central I,18/03/1960,Master Degree in Industrial Relations,Ekiti
Hon. Ayogu Fedel M.,APP,Igbo-Eze North/Udenu,27/07/1957,Master Degree in Architectures P.G. Diploma in Public Admin.,Enugu
Ekwe Igwebuike Uchenna,APP,Aninri/Agwu/Oji River,14/04/1964,Bachelor of Science in Banking/Finance,Enugu
Alexander Ike Eze,APP,Nsukka/Igbo-Eze South,31/10/1952,Bachelor Degree in Philosophy,Enugu
Chris Otaka Nnadi,PDP,Igbo Etiti/Uzo-Uwani,28/02/1950,"SSCE, Studying Science & Tech. & for a B.Sc in Bus. Admin.",Enugu
Edeoga Chijioke,PDP,Isi-Uzo/Enugu-East,20/10/1964,Bachelors Degree in English,Enugu
Edeh Kanayo,AD,Nkanu East - West,28/03/1961,Bachelors Degree in Business Administration,Enugu
Eneth Tony Gary,PDP,Udi/Ezeagu,05/09/1953,Bachelors Degree in Pol. Science,Enugu
Saidu Ahmed Bojude,PDP,Gombe/Kwam/Funakaye,1945,Master Degree in Agric Extension,Gombe
Adamu Usman Degri,PDP,Balanga/Bililiri,14/04/1951,1-2 years in Serv Training,Gombe
Kilyobas Audu Kere,PDP,Kaltungo/Shongom,03/01/1950,"Master Degree in Banking & Finance, Prog. for Mngt. Dev. PMD 67",Gombe
Abdullahi Idris Umar,PDP,Yamaltu/Deba,28/12/1959,"Bachelor of Law Degree, Barrister at Law",Gombe
Ismaila Mohammed,PDP,Dukku/Nafada,20/01/1957,Post Graduate Diploma in Management (PGDM),Gombe
Mohammed Bello,PDP,Akko,27/03/1956,Advance Diploma in Public Administration; Diploma in Range Management,Gombe
Christopher C. Osuala,APP,Nwangele/Isu/ Nkwerre/Njaba,02/10/1960,Doctoral Degree in Engineering,Imo
Greg C. Egu,APP,Aboh Mbaise/ Ngor Okpala,23/11/1950,Master Degree in Int'l Bus. Management,Imo
Okere Tony Eze,APP,"Ohaji/Egbema, Oguta, Oru-West",28/02/1960,Bachelor Degree (B.Sc) in Applied Science,Imo
Cajethan O. Dike,APP,Orlu/Oru/Oru East,14/07/1962,Bachelor Degree in Business Administration,Imo
Tony Anyanwu,PDP,Ahiazu Mbaise/Ezinihitte,16/04/1964,Bachelor of Law Degree,Imo
Ibekwe Maurice Obasi,PDP,Okigwe North,13/06/1952,Diploma,Imo
Ezeamo Nnamdi Thank God,PDP,Ideato North/South,27/07/1959,Master Degree,Imo
Nwole Uchenna,PDP,Mbaitolu/Ikeduru,10/03/1959,Bachelor Degree in Engineering,Imo
Levi Oguike,PDP,Owerri Municipal/ Owerri North/West,20/12/1945,Master Degree in Quantity Surveying & Estate Mgt.,Imo
Nwajiuba Chukwuemeka U.,PDP,Ehimembano/Ihitt Uboma/Obowa,20/08/1967,Bachelor of Law Degree,Imo
Abdullahi A. Gumel,PDP,Gumel/Maigatari/Sule Tankarkar/Gagarawa,20/04/1949,Post Graduate Diploma in Public Policy & Admin.,Jigawa
Moh'd Yahaya Birnin-Kudu,PDP,Birnin-Kudu/Buji,21/09/1962,HND in Land Surveying,Jigawa
Ibrahim G. Abubakar,PDP,Malammadori/ Kaugama,12/06/1948,Bachelors Degree in Television/Radio,Jigawa
Sani Abubakar Aliyu,APP,Babura/Garki,15/02/1959,Bachelor of Law Degree,Jigawa
Bashir Adamu,APP,Kazaure/Roni/Gwiwa/ Yankwarshi,12/04/1960,Bachelor Degree in Political Science/Hausa,Jigawa
Magaji Inuwa,APP,Jahun/Miga,1958,OND,Jigawa
Safiyanu Uba Taura,APP,Taura/Ringim,1959,Secondary School Cert.,Jigawa
Abdul'aziz Usman,APP,Birniwa/Guri/ Kirkasamma,01/01/1962,HND Agricultural Extension & Management,Jigawa
Usman Alhaji,APP,Malammadori/ Kaugama,1955,Diploma in Public Admin.,Jigawa
Isa Sani Abubakar,APP,Gwaram,15/02/1959,Bachelors Degree in Islamic Studies,Jigawa
Jibrin Yusuf Babangida,APP,Hadejia/Kafin Hausa/ Auyo,1958,National Diploma in Cooperative Management,Jigawa
Binta Garba Koji,APP,Kaduna South,17/04/1967,HND Marketing,Kaduna
Mohammed M. Haruna,APP,Igabi,01/01/1958,Post Graduate Diploma & Chartered Financial Accountant,Kaduna
Jonathan Asake,PDP,Zango Kataf/Jaba,15/04/1966,Master Degree (M.Sc.) in Communication Electronics,Kaduna
Ibrahim Abdullahi,PDP,Sabon Gari,30/20/1949,Military Certificate-PSC,Kaduna
Florence Diya Aya,,Kaura,1948,OND in Secretarial Studies,Kaduna
Ado Dogo Audu,PDP,Jema's/Sanga,16/02/1964,NCE Certificate,Kaduna
Mohammed H. Liiloro,PDP,Makarfi/Kudan,1953,HND in Local Goverment Administration,Kaduna
Audu Dansa,PDP,Kauru,20/06/1960,Bachelor Degree in Physical and Health Education,Kaduna
Yakubu M. Isiaku,PDP,Chikun/Kajuru,12/01/1964,Secondary School Cert.,Kaduna
Adams Jagaba,PDP,Kachia/Kagarko,01/10/1960,Bachelors Degree in Mass Communication,Kaduna
M. Inuwa Aliyu,PDP,Lere,20/08/1959,HND in Estate Management,Kaduna
Yahaya Tanko,PDP,Kaduna North,01/01/1959,HND Marketing,Kaduna
Abdul'Rauf Tukur,PDP,Soba,1961,Master of Arts Degree in Languages,Kaduna
Maiwada Ahmed,PDP,Birnin-Gwari/Giwa,1949,OND,Kaduna
Tijjani Sani Paki,PDP,Ikara/Kubau,15/03/1957,HND in Civil Engineering,Kaduna
Abdukadir Usman,PDP,Zaria,"12, 1960",A.D.P.A,Kaduna
Ghali Umar Na'Abba,PDP,Kano Municipal,29/09/1958,Bachelors Degree in Political Science,Kano
Mahmoun Baba Bichi,PDP,Bichi,20/06/1951,Bachelors Degree in History /Hausa,Kano
Umaru Aliyu Tsanyawa,PDP,Tsanyawa/Kunchi,1949,"1-2 Yrs Service in Training, National Comm. Health Assistant",Kano
Sirajo Moh'd Wudil,PDP,Wudil/Gargo,1940,Post Graduate Certificate in Public Administration,Kano
Danlami Hamza,APP,Fagge,02/08/1951,Master Degree in Area Studies (Africa),Kano
Muhtan Abdulrazaq Gora,PDP,Dala,15/07/1962,Master Degree in Business Administration,Kano
Adamu Abdul Fanda,PDP,Albasu/Ajingi/Gaya,15/01/1962,Master's Degree in Political Science,Kano
Bashir Yusuf Biburim,PDP,Tiwada/Doguwa,1952,"Primary and Secondary Education, One year course",Kano
Hamza Zakari Gwarzo,PDP,Gwarzo - Kabo,27/11/1950,Grade II Teachers Certificate,Kano
M. A. Yusuf Bunkure,PDP,Bunkure/Rano/Kibiya,1959,Masters Degree in Business Administration,Kano
Garba Mohammed Butalawa,PDP,Kura/Madobi/ Garunmalam,September 1953,HND in Agriculture,Kano
Shehu U. Aliyu Yammedi,PDP,Karaye/Rogo,02/12/1969,"OND in Business Admin., Cert. in Community Health",Kano
Jibrin Barau,PDP,Tarauni,19/06/1959,HND Accountancy,Kano
Sirajo Harisu,PDP,Danratta/Makoda,30/12/1956,One-year Higher School,Kano
Shehu Haruna Lambu,PDP,Ditofa/Tofa/Rimin-Gado,10/04/1964,Bachelor of Education Degree in Integrated Sci.,Kano
Farouk Muh'd Lawan,PDP,Bagwai/Shanono,"July, 1961",Master Degree in English,Kano
Aliyu Moh'd Kachako,PDP,Sumaila/Takai,11/12/1963,HND in Business Admn.,Kano
Ali Bala,PDP,Kumbotso,20/03/1956,Bachelor Degree in Environmental Mgt.,Kano
Nasiru Abduwa Gabasawa,PDP,Gezawa/Gabsawa,16/06/1968,Advance Diploma in Public Administration,Kano
Bako Sarai,,Dawakin-Kudu/Warawa,01/10/1952,Master Degree in Mech. Engineering System,Kano
Aminu Ghali Hausawa,PDP,Gwale,11/11/1958,Bachelors Degree in Building,Kano
Ad'hama Ismail Muktar,PDP,Ungogo/Minjibir,20/04/1956,Bachelors Degree in Accountancy,Kano
Yako Aliyu Mohammed,,Kiru/Bebeji,,,Kano
Ibrahim Salisu Buhari,PDP,,,,Kano
Adamu Saidu Daura,PDP,Daura/Sandamu/Mai'adua,21/04/1961,NCE,Katsina
Abdul Haro Mashi,PDP,Mashi/Dvisi,15/08/1954,Bachelors Degree & PGD in Public Policy & Admin.,Katsina
Muazu Lemamu Tsagero,PDP,Rimi/Charanchi/Batagarawa,1960,Grade II Certificate,Katsina
Tukur Idris Nadabo,PDP,Bakori/Danja,"August, 1932",SSCE Certificate & In-Service Courses,Katsina
Abubakar Garba Shehu,PDP,Musawa/Matazu,15/06/1961,Doctoral Degree in Philosophy Curriculum Studies,Katsina
Sabiu Hassan Makera,PDP,Dutsin-ma/Kurfi,1953,NCE,Katsina
Shuaib Yahaya Baure,PDP,Baure/Zango,12/10/1960,One-year Post Secondary Education,Katsina
Musa Nuhu Abdullahi,PDP,Kaita/Jibia,05/10/1961,GCE 'O' Level,Katsina
Lawal Ibrahim Funtua,PDP,Funtua/Dandume,1952,Bachelors Degree in Social Science (Government),Katsina
Aliyu Musa,PDP,Mani/Bindawa,12/12/1957,Bachelors Degree in Political Science and History,Katsina
Amina Yakubu Safana,PDP,Safana/Batsari/ Dan-Musa,1960,OND Diploma,Katsina
Lawal Yusufu Yankara,PDP,Kankara/Faskari/ Sabuwa,12/12/1962,Masters Degree in Architecture,Katsina
Usman Mani Nasarawa,PDP,Kankia/Ingawa/Kusada,07/02/1952,HND in Town Planning,Katsina
Abubakar Sadiq Yar'Adua,PDP,Katsina Central,,,Katsina
Aminu Bello Musari,PDP,Malumfashi/Kafur,"May, 1950",PGD,Katsina
Sani Udu,PDP,Zuru/Fakai/Sakaba/ Danko Wasagu,1956,Doctor of Medicine Degree (MBBS),Kebbi
Abdullahi K. Kamba,PDP,Arewa/Dandi,1942,Bachelors Degree (B.Sc) in Education,Kebbi
Bala Bawa Kaoje,PDP,Bagudo/Suru,20/09/1960,Masters in Engineering Degree (Structural),Kebbi
Zailani Mohammed,PDP,Auri,22/07/1951,HND in Accountancy,Kebbi
Bashir Bala,PDP,Koko/Besse-Maiyama,1956,HND in Accountancy,Kebbi
Bello Bagudu,APP,Koko/Besse-Maiyama,15/06/1960,HND in Building,Kebbi
Sani Bawa Argungu,APP,Argungu/Aguie,1959,HND in Building,Kebbi
Ibrahim Aliyu Gwandu,APP,Gwandu/Aliero/Jega,15/05/1946,Masters Degree in Public Administration,Kebbi
Sani Stephen Abdul E.,PDP,Okene/Ogori-Magongo,03/01/1942,Masters Degree in Guidance & Cancelling,Kogi
Ojo Olorunshola,PDP,Yauba East/West/ Modamuko,10/12/1952,Bachelor of Law Degree,Kogi
Saliu Abdulkareem,AD,Adaui/Okehi,27/05/1958,Bachelors Degree in Mass Communications,Kogi
Adamu Osuku Musa,APP,Lokoja/Kogi/KK,07/05/1957,Bachelor of Law Degree,Kogi
Itaka Frank Ineke,APP,Idah/Ofu/Ibaji/ Igala-Lamela-Odolu,19/09/1958,Bachelor of Law Degree & Masters Degree in International Law,Kogi
Ojo Samuel Abiodun,PDP,Ijumu/Kabba-Bunu,25/12/1953,HND in Business Admn.,Kogi
Abimaje Muazu,APP,Ankpa Olamaboro Omala,16/06/1957,WAEC,Kogi
Adamu Ahmadu Samari,APP,Ajaokuta,22/08/1944,OND,Kogi
Isaac Ruzama Jimba,APP,Bassa/Dekina,02/10/1948,Advance Diploma in Public Administration,Kogi
Rauf Kalawole Shittu,APP,Offa/Oyun/Ifelodun,18/11/1950,Bachelor Degree in Civil Engineering,Kwara
Yahaya Ahmed Yinusa,PDP,Edu/Moro/Patigi,06/06/1957,Final C & G Licentiateship,Kwara
Ibrahim Bio Isa,APP,Baruten/Kaiama,24/05/1957,Bachelor Degree in Pharmacy,Kwara
Farouk A. O. Sarouk,APP,Ilorin East/South,05/12/1956,MBA in Business Administration (Marketing),Kwara
Oni Bashir Bola,APP,Ekiti/Isin/Irepodun/Oke-Ero,22/10/1967,Bachelors Degree in Political Science,Kwara
Rukayat G. Saraki-Fowora,APP,Asa/Ilorin West,03/03/1965,Bachelors Degree in Economics,Kwara
Stephen Adedapo Banjo,APP,Epe Central,07/04/1934,HND,Lagos
Adetona Balina Yusuf,APP,Ibeje/Lekki,08/03/1939,Secondary School Education,Lagos
Akinyemi Beckley,AD,Ikeja/Lagos,11/08/1944,Diploma in Mechanical Engineering,Lagos
Mudashiru Oyetunde Husain,AD,Oshodi/Isolo,25/10/1955,Bachelors Degree in French Language,Lagos
Mayegun Azeez Abayomi,AD,Lagos Island I,29/09/1962,Bachelors Degree in Law,Lagos
Toyin Bolarinwa James,AD,Ajeromi Ifelodun,10/06/1960,OND in Business Admin.,Lagos
Adeleke Kehinde,AD,Ojo,28/12/1949,MB.BS,Lagos
Moshood Adegoke Salvador,AD,Mushin I,13/12/1955,HND in Export Marketing Management,Lagos
Monsuru Alao Owolabi,AD,Lagos Island II,01/03/1944,HND in Business Admin.,Lagos
Olusegun Vincent Damiro,AD,Mushin II,10/08/1951,Diploma in Building Management,Lagos
Adeyemi Oluwole,AD,Somolu,30/10/1952,Bachelor of Law Degree,Lagos
Wunmi Bewaji Mabayoje,AP,Lagos Mainland,01/05/1965,Masters Degree (LL.M) in International Economic Law & Law of Sea,Lagos
Dorcas O. Idowu Odujinrin,AD,Ikorodu,14/04/1943,HND in Business,Lagos
Oladipo Olaitan,AD,Alimosho,27/09/1942,HND & Bachelor of Law Degree,Lagos
Omolola Abiola-Edewor,AD,Apapa,19/05/1961,MBA in Marketing,Lagos
Oludotun Animashaun,AD,Kosofe,09/09/1947,P.G. Diploma in Management,Lagos
Adebola O. Ogunmefun,AD,Agege,01/03/1954,"MBA, MA in Management Studies",Lagos
Olaribigbe Aremu Matesun,AD,Amuwo-Odofin,07/05/1933,Bachelors Degree in Structural Engineering,Lagos
James Bolarinwa Seyon,AD,Badagry,07/03/1957,MBA,Lagos
Olufemi O. Onimole,AD,Ifako-Ijaiye,15/08/1958,Nigerian Defence Academy Certificate,Lagos
Habeeb Adekunle B. Fasinro,AD,Eti-Osa,14/11/1963,"B.A (Hons) in Political & Economics, Bachelor of Law",Lagos
Okuneye Gbolahan,AD,Oshodi/Isolo II,16/05/1949,Associate of the Institute of Bankers,Lagos
Kolawole Olokodana,AD,Surulere II,01/01/1935,Diploma in Business Management,Lagos
Ayoola Oshodi,AD,Surulere I,,,Lagos
Idris Yahuza Yakubu,,Akwanga/ Nassarawa Eggon/Wamba,10/02/1961,Bachelor of Law Degree,Nassarawa
Saliu Mohammed Raj,PDP,Keffi/Karu/Kokona,12/04/1962,Masters Degree in English,Nassarawa
Yusuf Suleiman,PDP,Lafia/Obi,22/11/1963,Masters Degree in Language Education,Nassarawa
Musa Elayo Abdullahi,PDP,Awe/Doma/Keana,01/09/1959,Bachelor of Law Degree,Nassarawa
Samuel Azamu Egya,PDP,Nasarawa & Toto,01/05/1962,Ordinary National Diploma,Nassarawa
Saidu Isa,PDP,Mokwa/Lavun/Edati,01/07/1958,Professional Diploma in Mass Communication,Niger
Shehu Agaie,PDP,Agaie/Lapai,12/12/1958,HND in Animal Health & Husbandry,Niger
Peter Ndalikali Jiya,PDP,Bida/Gbako/Katcha,05/06/1958,Bachelor of Law Degree,Niger
Abdullahi Musa,PDP,Chanchaga,20/04/1964,Bachelors Degree (BSC) in Management Studies,Niger
Umar A. Ahmed,PDP,Rijau/Magama,01/06/1967,Bachelors Degree in Hausa,Niger
Babangida Umar,PDP,Kontagora Mariga Wushishi Mashegu,,HND,Niger
Abubakar Bawa Bwari,PDP,Gurara/Suleja/Tapa,11/11/1963,Masters Degree (MSC) in Urban and Regional Planning,Niger
Umaru Tanko Kuta,PDP,Shiroro/Rafi/Munya,03/07/1964,OND,Niger
Dan-Musa A. Alhassan,PDP,Agwara/Borgu,1959,HND in Nursing,Niger
Yakubu Salihu,PDP,Bosso/Paikoro,,,Niger
Kamaorun Alabi Odutan,AD,Egbado South & Ipokia,23/05/1955,HND in Secretarial Administration,Ogun
