Name,Party,Constituency,Date of Birth,Education,State
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,,Imo
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,08/1938,,Kaduna
Ali Abba,NPN,Katsina/Dutsinma,07/01/1940,,Kaduna
Bakori Bello,PRP,Malumfashi/Funtua,1944,,Kaduna
Daura Yusuf Aliyu,NPN,Daura/Mani/Kankiya,12/04/1934,,Kaduna
Ibrahim Barau,NPN,,,,Kaduna
Zakari Ahmed,PRP,Kano North-East,1939,,Kano
Bakin Zuwo Sabo,PRP,Kano Central,1934,,Kano
Dambatta Usman Alto,PRP,Kano North-Central,1932,,Kano
Musa Hamisu,PRP,Kano South-West,"August 3, 1938",,Kano
Adamu Gaya,PRP,,,,Kano
Abubakar O. Saraki,NPN,Ilorin/Asa,17/05/1933,,Kwara
Adebayo O. Cornelius,UPN,Kwara Central,24/02/1941,,Kwara
Gani Aliya Mohammed,NPN,Kwara North,31/12/1935,,Kwara
Obaro Isa,NPN,Kwara South,20/08/1934,,Kwara
Olu Justus Olabode,UPN,Kwara South-East,28/03/1930,,Kwara
Shita-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,,Lagos
Abiru Mubashir Akanbi,UPN,Ikorodu,25/09/1932,,Lagos
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,,Lagos
Ayantuga Obafemi,UPN,Epe,10/04/1937,,Lagos
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,,Lagos
Salihu Jibrin,NPN,Agaie/Lapai,12/04/1937,,Niger
Dada Garba Musa,NPN,Minna/Kagar,28/11/1941,,Niger
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,,Niger
Mu'azu Abdullah,NPN,Kontagora,1924,,Niger
Ibrahim Kolo,NPN,,,,Niger
Adesanya Abraham A.,UPN,Ijebu North-East,24/08/1924,,Ogun
Odebiyi Jonathan Akinremi O.,UPN,Egbado North/South,11/03/1923,,Ogun
Sogbein Samuel Olu,UPN,Odeda/Obafemi/ Owode,10/12/1920,,Ogun
Ladega Daniel Adetola,UPN,Ijebu-Ode/Ijebu Remo,15/08/1918,,Ogun
Oyero Kunle,UPN,Abeokuta/Ifo-Otta,28/10/1927,,Ogun
Onunkun Michael Atijosan E.,UPN,Ondo South,30/10/1928,,Ondo
Akintoye Stephen Adebanji,UPN,Ondo Central,18/02/1936,,Ondo
Fasanmi Ayo,UPN,Ondo North,27/09/1925,,Ondo
Ogunleye Emmanuel Kayode,UPN,Ondo East,06/05/1934,,Ondo
Oke David Olantunbosun,UPN,Ondo West,03/10/1937,,Ondo
Ilori Christopher Oladosu,UPN,Ife/Ilesha,27/07/1929,,Oyo
Adegoke Ademole,UPN,Oyo,15/10/1942,,Oyo
Adeleke Ayoola,UPN,Oshun II,27/12/1923,,Oyo
Adeoye Christopher Laogun,UPN,Oshun I,12/03/1928,,Oyo
Adesina Olalere,UPN,Ibadan,10/02/1931,,Oyo
Yepwi Thomas,NPN,Keffi,21/05/1930,,Plateau
Pam John Wash,NPP,Jos,22/10/1940,,Plateau
Agwal Muhammed Musa,NPN,"Lafia, Akwanga/Awe",03/03/1939,,Plateau
Hoomkwap George Baba,NPP,Shendam,28/12/1942,,Plateau
Matta Garba,NPP,Pankshin/Mangu/Kanam,21/03/1932,,Plateau
Zuofa Amatari,NPN,Rivers III (Brass/Sagbama/Yenogoa),29/11/1923,,Rivers
Wali Obi,NPP,Rivers I (Phalga),27/02/1932,,Rivers
Ellah Francis John,NPP,Rivers II (Ahoada/Ikwerre/Etche),04/11/1927,,Rivers
Nunieh Cyrus Nwidonane,NPN,Rivers IV (Bonny/Bori),05/02/1930,L.L.B & B.L,Rivers
Eberewariye Oyiboseigha,NPN,Degema,1949,,Rivers
Zuru Hassan,NPN,Sokoto North,1927,,Sokoto
Abdul-Karim Muhtari,NPN,Sokoto East,05/02/1938,,Sokoto
Kware Garba,NPN,Sokoto Central,01/04/1925,,Sokoto
Muza Haruna,NPN,Sokoto West,1919,,Sokoto
Gada Garba,NPN,Sokoto North,1934,,Sokoto
