Name,Party,Constituency,Date of Birth,Education,State
Ukpanah Akaninyene,NPN,Ukanafon II,12/08/34,"NPS, Diploma Pharmacy",Cross River
Utande Emmanuel Ada,NPN,Obodu,20/02/1943,"B.Sc (Hons), M.A, Ph.D",Cross River
,,,,,Cross River
Inoh Amos Alfred,,Ikot Abasi II,15/01/46,"City & Guilds, Certificate in Automobile Engineering",Cross River
Agbujoro Agya,NPN,Wukari,1940,Diploma in Education Planning & Admin.,Gongola
Amos Sunday,GNPP,Song,1943,Advance Certificate in Education,Gongola
Dikko Hamman,GNPP,Maiha,1939,,Gongola
M. G. Aeneas,UPN,Numan,05/01/18,,Gongola
Iliya Galiya Audu,NPN,,01/01/40,"WASC (Grade II), Diploma Journalism",Gongola
Gbo-Aondo David Hitler,GNPP,Takum,1949,Teachers Grade II,Gongola
Lanko Abdul-Kadiri,UPN,Sawa,1935,Teachers Grade II Certificate,Gongola
Mahmud Aliyu,NPN,Yola,1929,Business Admin.,Gongola
Mabrama-Jen Benson M.,UPN,Karimu Lamido,1936,Teachers Grade II Certificate,Gongola
Nzalak M. James,GNPP,Takum,1944,Teachers Grade II Certificate,Gongola
Saraso David Bate,UPN,Ganye,11/10/38,SSCE,Gongola
Vonti Yakoko Dominic,UPN,Zing,1938,Diploma (General Admin),Gongola
Agwu Agwu Nwogo,NPP,Ohozara,06/06/40,"Teacher's Grade III & II, NCE Certificate",Imo
Alu Samson Oko,NPP,Nkwerre/Amaigbo,17/04/38,"LL.B (Hons),B.L Degree",Imo
Chukwu Paulinus Umah,NPP,Ohaji/Egbema/Oguta,06/02/32,Std.VI,Imo
Eleke Onwu Paul,NPP,Ezinihitte,05/05/25,Diploma in Physical and Health Education,Imo
Ihekweazu S. M. C.,NPP,Nkwere/Amaigbo,10/09/37,Career Nurse,Imo
Kanu Empire Ndukaku,NPP,Ohuhu/Umokpara,23/05/44,"HND Business Studies, Dip. Purchasing & Supply",Imo
Nnaji Veronica Ogechi,NPN,Afkipo,01/01/40,"B.Sc Civil Eng'g, MBA",Imo
Cletus U. Nwokoro,NPP,Okigwe South,28/10/44,Teacher's Grade III & II Certificate,Imo
Obiara Chikwe,NPP,Owerri South,30/11/27,"B.Sc Chemistry, Ph.D Chemistry",Imo
Ochiama Tobias N.,NPP,Ikeduru,1944,Diploma in Building Engineering,Imo
Oke Oke Ukpo,NPP,Ohafia,1938,,Imo
Ogwe Kali Ogwe,NPP,Bende,31/12/37,"LL.B (Hons), B.L, Diploma in Religious Studies, Diploma Bus. Org. & Mgt",Imo
Oje Michael Amaechi,NPP,Ohaozara West,10/06/37,First School Leaving Certificate,Imo
P. C. Amadi,NPP,,24/06/39,"PAS, A.M.B.I.M",Imo
Zu'bairu Danjuma Alkali,NPP,Jema'a North,19/09/50,B.A Administration,Kaduna
Gajere Abuja Maisango,NPN,Kachia West,1940,Diploma in Education,Kaduna
Kantoma Bale Shimaze,NPN,Kaduna North,12/04/45,Diploma Textile Technology,Kaduna
Malumfashi Datti M. A.,PRP,Malumfashi,13/03/43,"Diploma in Accounting Cost Price, Budgeting and Investment Policy",Kaduna
Suleman Ibrahim S.,NPN,Lere,1931,Elementary I - IV,Kaduna
Umar Mohammed Kabiru,NPN,Kaduna South,1945,,Kaduna
Yunusa Abubakar,NPN,Charwai/Kauran,1944,Teacher's Grade II Certificate,Kaduna
Aliyu Adamu,PRP,Minjibir,15/01/48,Bachelor Education,Kano
Adamu Muktar,PRP,Dutse,1947,"Diploma in Poultry, Agric Production Husbandry",Kano
Adamu Sarki,PRP,Dawakin Kudu,04/04/39,HND Marketing and Public Administration,Kano
Gaya Yusufu Nadabo,PRP,Gaya North,24/08/38,Diploma in Treasury Accounting and Local Government Admin.,Kano
Tudun-Wada Muhammed A.,PRP,Waje/Nasarawa,16/11/48,,Kano
M. Mustapha,PRP,Rimingado,02/10/40,B.Sc (Hons) in Econs,Kano
Ibrahim Saidu,PRP,Kiyawa,25/06/44,"Diploma in Mining, Cert. in Mining",Kano
"Isyaku Kala,",PRP,Minjibir,20/08/49,Diploma in Secretariat Studies,Kano
Mustapha M. I.,PRP,Gaya South,,B.Sc Geography,Kano
Malufashi Datti Muhammed Aliyu,PRP,Malumfashini,13/03/43,Teacher's Grade II Cert.,Kano
Abodunde S. Bamidele,UPN,Oyi,06/01/37,"B.A (Hons) PGD, Dip in French",Kwara
Ayodeji Isaac Olaleru,UPN,Oyun,06/01/46,"B.A. History & Philosophy, M.Ed",Kwara
Ibn-Mohd M. Yusuf,UPN,Moro,08/08/51,Certificate & Diploma in French,Kwara
Inuwa Musa,GNPP,Borgu,02/03/34,Northern Dispenser Cert. Pharmaceutical Chemist Diploma,Kwara
Lawal Adewara Toyin,UPN,Oyun,08/08/48,B.Sc (Hons) Political Sc.,Kwara
Mohammed Omo-Eko S.,NPN,Ilorin,20/01/28,Diploma in Educational Administration,Kwara
Obaoye Peter Olayemi,UPN,Irepodun,06/12/44,UCTA Sales Diploma,Kwara
Yunusa Folorunsho Ayinla,,Asa,17/03/40,B.Sc Sociology,Kwara
Umaru Abdullahi,NPN,Kogi,,Diploma in Secretarial Studies,Kwara
Adesida Samuel Osabiya,UPN,Somolu,06/01/31,SSCE,Lagos
Badejo Theophilus Oludotun,UPN,Mushin Central I,29/03/36,"Grade Teacher's Certificate, LL.B (Hons) B.L",Lagos
Babatope Biola,UPN,Mushin,29/09/47,B.Sc Geology,Lagos
Olusi Tajudeen Oluyole,UPN,Lagos South,13/10/36,GCE O/Level,Lagos
Akinboro Olumuyiwa,UPN,Abeokuta II,26/04/36,Teacher's Grade III Cert.,Ogun
Mako Adeyinka,UPN,Etina II,11/09/18,"Teacher's Diploma, B.Sc Pure Science",Ogun
Bankole David Olayinka,UPN,Egbado/Ifonyi/Ilaro,28/08/26,"Grade II & I Teacher Certificate, GCE O/Level",Ogun
Ogunsiji Oladele,UPN,Egbado North,18/12/46,"B.Sc (Hons) Agric, Ph.D Agric. Science",Ogun
Oduntan Saula Akabi,UPN,Ifo-Otta,15/02/36,Industrial Relations Cert.,Ogun
Omidiji Fola,UPN,Egba-Alake,06/07/46,L.L.B,Ogun
O. Saliu Abagun Adisa,UPN,Ado/Igbesa/Ipokia,07/02/37,Part I Banking Diploma (Institute of Bankers),Ogun
Abegunde B. Joseph,UPN,Ekiti East,21/04/47,"B.A (Mass Com.) Certificate in Publishing,",Ondo
Fajobi Stephen Faji,UPN,Ekiti South,25/06/25,"LL.B, B.L",Ondo
Adu Emmanuel Dele,UPN,Ekiti North,04/04/40,B.Sc (Econs) Final Cert. of Institute of Charted Accountant,Ondo
Adeola Adebo,UPN,Ijero,06/04/39,B.Sc (Secondary Education),Ondo
Fagbamigbe Olaiya,UPN,Akure,22/08/28,SSCE O/L,Ondo
Kayode B. Emmanuel,UPN,Idanre Ifedore,03/06/39,Diploma in Adult Education & Community Development,Ondo
Olowu S. Ogunyele,UPN,Ikale,01/12/40,LL.B (Hons) B.L,Ondo
Olofinlade Olu,UPN,Ero South,27/08/33,LL.B (Hons.),Ondo
Owoseni J. Oladipupo,UPN,Ekiti South,28/02/29,National Certificate in Business Education,Ondo
Rotimi Akintunde,UPN,Ekiti North,25/11/40,B.Sc Political Science,Ondo
Abiona J. Adekola,UPN,Ifelodun East,25/12/33,B.A. (Hons.),Oyo
Adesina S. A.,UPN,Kajola,02/06/37,ACCA (Prelim.),Oyo
Adelu David Adeniyi,UPN,Ibadan East,03/06/31,Advance Diploma in Trade Union Organisation (ICFTU),Oyo
Afonja Abiodun,UPN,Oyo,23/11/39,B.Sc. (Maths) M.A. (Maths and Teaching),Oyo
Akande Debo,UPN,Ibadan North,09/06/38,LL.B,Oyo
Akintunde James Olajire,UPN,Oluyole,01/10/36,,Oyo
Akinloye Samuel Adeyemi,UPN,Ejigbo,27/10/30,"Grade III & II Teacher Certificates, Associate Diploma in Education",Oyo
Ayanbekun Moses Ayan,UPN,Oranmiyan South,22/04/30,Registered Nurse,Oyo
Dairo Amos Okunola,UPN,Odo-Otin,28/08/28,Teachers Grade II Certificate,Oyo
Opakanmi Johnson Oyedeiji,UPN,Irewole West,01/12/1928,GCE O/Level,Oyo
Kataiye Yanjue Lateef Bakere,UPN,Iwo,1939,,Oyo
Fatola Johnson Olasupo,UPN,Akinyele North,23/10/27,SSCE,Oyo
Labiyi Ladipo,UPN,Irewole East,15/06/19,Dip. In Business Org. & Mgt. & Certificate in Tax Admin,Oyo
Loasebikan Samuel G.,UPN,Ondo-Oshun,26/08/30,B.A. (Hons.) Modern History,Oyo
Olabode Buraimoh Olaniyi,UPN,Odo-Oshun,22/04/36,"B.Sc (Bus. Admin, Major in Accounts)",Oyo
Oyatobo Oluwole,UPN,Oyo South,25/04/1938,Degree in General Agriculture,Oyo
Oladepo Olaniyan,UPN,Ilobu,01/04/41,"Diploma in Trade Unionism; GCE (O/L) Class IV,",Oyo
Shiyanbola S. A.,UPN,Ede South,23/06/41,Ph.D Psychology,Oyo
Idakula Amos Bez,NPP,Keffi,11/06/49,"Bachelor of Theology, Post Graduate Diploma in Educational Psychology (PGCE)",Plateau
Laven John Lashat,NPP,Langtang,02/04/37,,Plateau
Mallo Josiah Yanu Maki,NPP,Akwanga,27/10/50,"HND Animal Science & Husbandry, B.A Education & Economics",Plateau
Shu'aibu Muh'd Danjuma,NPN,Langtang,30/12/42,,Plateau
Wetkum Felix Mimang,NPP,Mangu,1948,Grade I Teacher's Cert.,Plateau
Zakari Abdulkadiri,NPP,Wase,1938,Higher Diploma (General Agriculture),Plateau
Wodi Godwin Bekwele,NPP,Port-Harcourt II,27/01/32,B.Sc Business Admin.,Rivers
Nwala Ezebunwa O. Ajoku,NPP,Ikwere Etche,05/08/37,"B.A (Hons), Ph.D",Rivers
Princewill Dagogo,NPN,Degema I,16/01/40,(ACCA),Rivers
Sekibo James Taribo,NPN,Bonny II,28/12/44,"Diploma in Agriculture, M.B.B.S., M.Sc.",Rivers
"Asuk, Shem Ezekiel",NPN,Bonny 1,28/05/31,"Local Government Admin., LL.B (Hons) London",Rivers
Egberipou P. Idoubagha,NPN,Yenogoa,22/11/41,"Bachelor of Medicine, Bachelor of Surgery (BS) (FRCS)",Rivers
,,,,,Rivers
Sangha Prince J. S.,NPN,Bori 1,28/05/42,B.Sc (Bus. Admin) M.A (Public Administration),Rivers
Altine Tangaza Moh'ed,NPN,Tangaza,15/12/50,Teacher's Grade II Certificate,Sokoto
Bungudu Bello Dala,GNPP,Bungudu/Kotorkoshi,1940,Primary School Certificate,Sokoto
Bachaka Mohammadu,NPN,Argungu,12/04/38,"NCE, BA (Hons) History Dip. (Education Admin)",Sokoto
Gwadabawa Isiaku,PRP,Gabasawa,1942,"Teacher's Grade II, NCE",Sokoto
Gummi M. Aliyu,NPN,Gummi,1925,Teacher's Grade II Cert.,Sokoto
Ibrahim Dauda Tsdunga,NPN,Sakaba-Wasagu,1928,NA Primary School Cert.,Sokoto
Jega Garba,NPN,Jega East,1944,Local Govt. Admin. Cert. State II,Sokoto
Mafara Abdul Mumini,NPN,Talata/Mafara,11/11/51,OND General Agriculture,Sokoto
Rilwanu Isa,NPN,Gandi/Fakai,10/02/48,"Teacher's Grade II Cert., Certificate in Cooperative Studies",Sokoto
Shera Mohammadu,NPN,Birnin Kebbi,01/01/22,Diploma in Veterinary Science Diploma Animal Husbandry,Sokoto
Shuaib Ibrahim,NPN,Arewa-Dendi,1952,Secondary School Certificate,Sokoto
Sudan Ibrahim,NPN,Achida/Wurno,04/12/49,Stage II Administration and Accountancy Cert.; Teacher's Grade II Cert.,Sokoto
Yelwa Moh'd Abdullahi,GNPP,Yauri,20/07/37,"Teacher's Grade II Cert., Diploma in Public Admin.",Sokoto
