Name,Party,Constituency,Date of Birth,Education,State
Gambo Abubakar,NPN,Dutsinma,02/05/50,,Kaduna
Manzo Abubakar,NPN,Daura East,26/06/25,,Kaduna
Umaru Alti,NPN,Mashi Dutsi,1948,,Kaduna
Yufusu Bindawa,NPN,Bindawa,1936,,Kaduna
L. N. Daura,NPN,Daura West,14/02/33,,Kaduna
Ibrahim Hayin-Gada,PRP,Bakori,25/02/34,,Kaduna
M. A. Gajere,NPN,Kachia,1940,Diploma in Education,Kaduna
Rilwanu Garba,NPN,Musawa,,,Kaduna
Dabo Bujawa,NPN,Mani,05/03/30,,Kaduna
I. C. Ibrahim,NPN,Jama'a South,20/11/43,,Kaduna
Sule Ibrahim,NPN,Rimi Batagarawa,24/03/44,,Kaduna
Sanusi Imam,NPN,Kankiya,12/06/39,,Kaduna
Aliyu Isa,PRP,Makarfi,02/06/40,,Kaduna
Tanko Jaji,PRP,Zaria-North-West,25/01/28,,Kaduna
Mohammadu Ali Kaita,NPN,Kaita,02/02/44,,Kaduna
Magaji Kankara,NPN,Kankara,07/07/37,,Kaduna
Bala Kantoma,NPN,Kaduna,12/04/45,,Kaduna
Samuel B. Magani,NPP,Zongo-kataf,21/04/44,,Kaduna
Datti M. A. Malumfashi,PRP,Malumfashi,13/03/43,"Diploma in Accounting Cost Price, Budget & Investment Policy",Kaduna
Garba Musa,NPN,Jibiya,1952,,Kaduna
Ibrahim Nagodiya,PRP,Lere,23/11/30,,Kaduna
Audu Paki,,Ikara-Kubau,,,Kaduna
Shehu Ruma,,Batsari,,,Kaduna
Shehu Y. Runka,,,,,Kaduna
Rabiu Sabiu,,Funtua,,,Kaduna
Mohammed Kabir Umar,,Kaduna South,1945,,Kaduna
Badamasi U. Yamma,PRP,Faskari,1943,,Kaduna
Abubakar Yunusa,NPN,Chawai Kauru,1944,,Kaduna
Ahmed Tijani Yusufu,NPN,Ingawa,"October, 1945",,Kaduna
Ibrahim Zailani,NPN,Zaria Central,,,Kaduna
Dajuma A. Zubairu,NPP,Jemmandth,19/09/50,,Kaduna
Sani Abubakar,NPN,Roni,,,Kano
S. Abubakar,PRP,Dawakin-Tofa,1947,,Kano
Aliyu Adamu,PRP,Ungogo,15/01/48,,Kano
Sarki Adamu,PRP,Dawakin-Kudu,04/04/39,HND Marketing & Pub. Admin,Kano
Muhd A. Tukur Fagam,PRP,Gwaram,10/10/52,,Kano
Musa A. Alasan,PRP,Tudun Wada,1938,,Kano
Y. Bichi,PRP,Bichi,Aug. 1953,,Kano
Sarki Gambo,GNPP,Takai/Kachako,1947,,Kano
Musa Gammo,NPN,Kabo,1945,,Kano
Husaini A. Gajango,PRP,Malam Madori,15/06/51,,Kano
Nasidi Garba,PRP,Kura,1941,,Kano
Uba Illiya Garki,PRP,Garki,1953,,Kano
Umaru Sule Garo,PRP,Shanono,11/01/53,,Kano
Yusuf Nadabo Gaya,PRP,Gaya North,24/08/38,Diploma in Treasury,Kano
Mohammed D. Hadejia,PRP,Birniwa,,,Kano
Sidi Ali Hamed,PRP,Danbatta,,,Kano
A. Sadik Harith,PRP,Kiru,,,Kano
Saidu A. Ibrahim,,Kiryawa,25/06/44,Diploma in Mining,Kano
Garba Isyaku,PRP,Minjibir,20/08/49,Diploma in Secretariate Studies,Kano
A. Abdulkadir Ja'e,NPN,Rano,1926,,Kano
Mohammed S. Kaugama,PRP,Auyo/Kaugama,,,Kano
Saidu Kanti,NPN,Hade,1942,,Kano
Salisu M. Kanya,NPN,Babura,25/06/42,,Kano
M. Isyaku Gumawa,PRP,Gabasawa,1942,,Kano
Sule Lamido,PRP,Birnin Kudu,1948,,Kano
Ado Maitama,PRP,Gezawa,1947,,Kano
S. Maihula,PRP,Bagwa,,,Kano
Adamu Matoya,NPN,Gumel South,1924,,Kano
Umaru Mohammed,NPN,Gumel North,05/04/45,,Kano
Hassan Muhammed,PRP,Kafin/Hausa/Bulangu,1939,,Kano
Isa Mohammed,PRP,Jahun,1940,,Kano
Lawan Mohammed,NPN,Kunchi/Isanyawa,1947,,Kano
Junaidu S. Muhammed,PRP,West Ward,06/09/31,,Kano
Mustapha Muhammed,PRP,Rimingado,02/10/40,,Kano
M. I. Mustapha,PRP,Gaya South,01/12/47,B.Sc Geography,Kano
Moh'd Lawal Na-Rogo,PRP,Karaye,30/12/52,,Kano
Umaru Sadiq,,Kumbotso,,,Kano
A. Musa Salihi,,Kunkure,,,Kano
M. Rabiu Sha'aibu,,Ringim Gado,,,Kano
Bako Sitti,PRP,Suma' Ila,1938,,Kano
Rabiu Tabako,PRP,Gwarzo,1946,,Kano
Labaran Tanko,PRP,South East,14/04/43,,Kano
Tafida Usman,PRP,Kazaure,1928,,Kano
Moh'du A. Tudun-Wada,PRP,Waje/Nasarawa,16/11/1948,,Kano
B. Wudil,PRP,Wudil,15/06/40,,Kano
M. Mutari Adamu,PRP,Dutse,12/12/1947,,Kano
Aremu Yahaya,GNPP,Ilorin East,01/09/41,,Kwara
Isaac Ayodeji Olaleru,UPN,Oyun,06/01/37,,Kwara
Musa Inuwa,GNPP,Borgu,02/01/1934,Northern Dispenser Cert,Kwara
Jimoh Damisa,NPN,Okehi Adavi,14/04/45,,Kwara
Adewara Lawal,UPN,Ifelodun,08/08/1949,B.Sc in Political Science,Kwara
O. Sanda Muhammudu,NPN,Ilorin West,1928,,Kwara
Peter Olayemi Obaoye,UPN,Irepodun,06/12/44,,Kwara
Salawu Atima,NPN,Okehi-Isunwe,23/09/44,,Kwara
Shuaibu Julde,NPN,Edu,1941,,Kwara
Stephen B. Abodunde,UPN,Oyi,06/03/37,"PGD, Diploma in French",Kwara
Addullahi Umaru,NPN,Kogi,,Diploma Sec. Studies,Kwara
Yunusa Folorunsho,NPN,Asa,17/03/40,B.Sc Sociology,Kwara
Yusuf A. Amoka,NPN,Okene,1927,,Kwara
Yusuf Ibn Muhammed,UPN,Moro,08/08/51,Diploma in French,Kwara
Samuel O. Adesida,UPN,Shomolu,06/01/31,SSCE,Lagos
A. G. O. Ajimotokan,,Ikeja,,,Lagos
Adekunle L. Alli,UPN,Lagos-South,14/03/34,,Lagos
M. A. Amzart,UPN,Ikorudu,20/03/35,,Lagos
Abiola Babatope,UPN,Mushin Central II,29/09/47,B.sc Geography,Lagos
T. O. Badejo,UPN,Mushin Central I,29/03/36,Grade II Teacher's Cert,Lagos
Dele Fayemi,UPN,Badagry,,,Lagos
Olagbolahan Ijaola,UPN,Lagos North-East,28/09/33,,Lagos
Akin Ogunseye,UPN,Lagos South II,07/01/29,,Lagos
Tajudeen O. Olusi,UPN,Lagos South,13/10/36,GCE O/L,Lagos
G. B. Sadiku,UPN,Epe,,,Lagos
Rasheed A. Shitta-Bey,UPN,Lagos North-Central,,,Lagos
Suleiman Aliyu,NPN,Magama,22/04/40,,Niger
Mohammed G. Doko,NPN,Bida-South,05/08/32,,Niger
Abdurrahman H. Enaji,NPP,Lavun,,,Niger
Idris Ibrahim,,Minna-North,,,Niger
Abdullahi Isah,NPN,Mariga,1938,,Niger
M. Rabiu Is'haq,NPN,Abuja,18/03/38,,Niger
Ibrahim Madaki,NPN,Agaie/Lapai,1923,,Niger
M. B. Mustapha,NPN,Bida-North,1936,,Niger
Lahaji Yinusa Paiko,NPN,Minna-South,15/03/52,,Niger
Ahmed Tanko Ushama,NPN,Rafi,02/04/36,,Niger
O. Akingboro,UPN,Oke-Ona/Owu/Gbagura,26/04/36,Grade II Teacher Cert,Ogun
D. O. Bankole,UPN,Egbado/Ifoyin/Ilaro,28/08/26,,Ogun
Fola Omidiji,UPN,Egba Alake,06/07/46,L.L.B,Ogun
A. Mako,UPN,Ijebu North,11/09/18,"Teacher Diploma, B.Sc Pure. Sci",Ogun
Saula A. Oduntan,UPN,Ifo/Ota,15/02/1936,,Ogun
S. A. Ogunfuyi,UPN,Ijebu East,20/09/34,,Ogun
O. Ogunkoya,UPN,Ijebu-Remo,,,Ogun
Oladele Ogunsiji,UPN,Egbado-North,18/12/46,"B. Sc Agric, Ph.D in Agric.",Ogun
T. Ogunsiji,UPN,Odeda,06/07/32,,Ogun
S. A. Olaewe,UPN,Ado/Igbesa/Ipokia,07/02/37,,Ogun
M. A. Olukoya,UPN,Ijebu-Ode,,,Ogun
M. O. Oni,UPN,Obafemi/Owode,25/12/44,,Ogun
B. J. Abegunde,UPN,Ekiti East,21/04/47,B.A Mass.com,Ondo
S. A. Adeagbo,UPN,Ero North,30/04/36,,Ondo
A. Adeola,UPN,Ijero,06/04/39,B.Sc Secondary Education,Ondo
Z. O. Adetula,UPN,Owo,24/08/28,,Ondo
Emmanuel D. Adu,UPN,Ekiti North District,04/04/40,B.Sc Econs,Ondo
F. A. Akinbisehin,UPN,Ifesowopo,26/06/34,,Ondo
T. O. Akinbode,UPN,Owo,09/02/30,,Ondo
I. F. Akinyosoye,UPN,Ondo,23/09/37,,Ondo
Faji Fajobi,UPN,Ekiti South,June 1925,"LLB, BL",Ondo
G. A. Falayi,UPN,Ekiti Central,01/01/39,,Ondo
Olaiya Fagbamigbe,UPN,Akure,22/08/28,SSCE,Ondo
B. E. Kayode,UPN,Idanre/Ifedore,03/06/36,,Ondo
J. A. Ogunleye,UPN,Akoko North,10/01/31,,Ondo
Opayemi Ola,UPN,Ekiti West,,,Ondo
R. A. Olagunju,UPN,Akoko South,"October, 1934",,Ondo
Olu Olofinlade,UPN,Ero South,27/08/33,,Ondo
S. O. Olowu,UPN,Ikale,"December, 1940","L.L.B, B.L",Ondo
C. A. Oluwatusin,UPN,Ekiti South/West,20/12/20,,Ondo
Olusola Omoniran,UPN,Ilaje/Ese,08/10/34,,Ondo
F. A. O. Osekita,UPN,Ekiti Central,13/03/29,,Ondo
Oladipupo J. Owoseni,UPN,Ekiti South,20/02/29,National Cert in Business Administration,Ondo
Akin Rotimi,UPN,Ekiti North District,25/11/40,B.Sc in Political Science,Ondo
J. A. Abiona,UPN,Ifelodun East,25/12/33,,Oyo
Tunji S. Abolade,UPN,Ifelodun Central,01/11/39,,Oyo
R. O. Adegoke,UPN,Ibarapa,29/07/36,,Oyo
I. A. Adejare,UPN,Ede North,1925,,Oyo
S. A. Adekule,UPN,Iseyin,15/06/30,,Oyo
David Adelu Adeniyi,UPN,Ibadan East,03/06/31,Advance Diploma in Trade Union Organisation.,Oyo
Samuel A. Adesina,UPN,Kajola,02/06/37,,Oyo
Gbadebo E. Adewumi,UPN,Osogbo South,27/11/33,,Oyo
Olusola Afolabi,NPN,Oyo East,26/09/43,,Oyo
A. Afonja,UPN,Oyo Central,23/11/39,B.Sc in Maths,Oyo
Debo Akande,UPN,Ibadan North,09/06/38,,Oyo
Samuel A. Akinloye,UPN,Ejigbo,27/10/30,"Grade II & III Teacher's Cert, Diploma in Education",Oyo
Yomi Akintola,,Ogbomoso Central,,,Oyo
J. O. Akintunde,UPN,Oluyole,01/10/36,,Oyo
Sopo Akinwale,UPN,Lagelu South,31/03/30,,Oyo
Razaq O. Apalara,UPN,Ifedapo,17/08/49,,Oyo
Moses A. Ayanbekun,UPN,Oranmiyan South,22/04/30,,Oyo
John K. Fadeyi,UPN,Ila,27/02/27,,Oyo
Saliu Hadji Famuyide,UPN,Ilesha,,,Oyo
Johnson O. Fatola,UPN,Akinyele North,23/10/27,SSCE,Oyo
Dauda A. Ibrahim,UPN,Irewole West,20/08/36,,Oyo
Samuel O. Ige,,Obokun,,,Oyo
Latifu B. Kataiyeyanjue,UPN,Iwo East,1935,,Oyo
Ladipo Labiyi,UPN,Irewole East,15/06/19,Diploma in Bus. Admin org Mgt. Cert in Tax Admin.,Oyo
S. G. Laosebikan,UPN,Iwo West,26/08/30,B.A Modern History,Oyo
Olakanmi Obiyemi,UPN,Atakumosa,,,Oyo
J. O. Odebumi,NPN,Ogbomoso South,15/08/35,,Oyo
Stephen Ade Odetoyinbo,UPN,Osogbo North,11/11/29,,Oyo
Michael A. Ojo,UPN,Irepodun,08/03/36,,Oyo
Amos Okunlola Dairo,UPN,Odo/Otin,28/08/28,Teacher Grade II Cert.,Oyo
B. O. Olabode,UPN,Ogbomoso North,22/04/36,,Oyo
Oladepo Olaniyan,UPN,Irepodun,01/04/41,,Oyo
L. B. Olaniran,UPN,Akinyele West,15/02/36,,Oyo
Olubisi Olarewaju,UPN,Oranmiyan North,19/03/32,,Oyo
A. O. Omisore,UPN,Oranmiyan Central,15/02/25,,Oyo
Babatunde Omole,UPN,Ibadan West,10/12/24,,Oyo
Adesina L. Onaolapo,UPN,Ibadan South,20/01/39,,Oyo
J. Oyedeji Opakanmi,UPN,Iwo North,01/12/28,,Oyo
Olatinwo Otegbeye,,Lagelu North,,,Oyo
Oluwole Oyatoba,UPN,Oyo South,25/04/38,,Oyo
B. O. Raji,,Ibadan Central,,,Oyo
S. A. Siyanbola,,Ede South,,,Oyo
Inuwa Ali,NPN,Jos North,30/12/25,,Plateau
M. S. Alhaji Aliyu,NPP,Nasarawa,,,Plateau
Iortim Ityo,NPP,Awe,1953,,Plateau
John L. Laven,NPP,Langtang,02/04/37,,Plateau
J. Y. M. Mallo,,Akwanga,,"HND Animal Husbandry, B.A (Education & Econs)",Plateau
Hogan Chokwe Racha,NPP,Racha,,,Plateau
D. D. Dafuan,NPP,Shendam West,30/10/36,,Plateau
S. F. Dalyop,NPP,Jos South,05/05/36,,Plateau
P. C. Deme,,Barakin Ladi,,,Plateau
Ambrose Gapsuk,NPP,Shendam East,1942,,Plateau
Christopher K. Gutus,NPP,Pankshin,1946,,Plateau
Yakubu A. Husaini,NPN,Lafia,1942,,Plateau
Amos Idakula,NPP,Keffi,11/06/49,,Plateau
J. Yamu Marki,,Akwanga,,,Plateau
Mohammed D. Shuaibu,,Kanam,,,Plateau
Felix M. Wetkum,NPP,Mangu,1948,Grade I Teacher's Cert,Plateau
Abdulkadir Zakari,NPP,Wase,31/12/40,,Plateau
Stephen Alete,NPP,Ikwere,24/04/36,,Rivers
