Name,Party,Constituency,Date of Birth,Education,State
Ali Modu Sheriff,APP,Borno Central,,Doctoral Degree,Borno
Abubakar Mahdi,PDP,Borno North,1950,HND,Borno
Florence Ita-Giwa,APP,Cross River South,19/02/1946,,Cross River
Pius Adede,PDP,Cross River North,,,Cross River
Matthew T. Mbu,PDP,Cross River Central,02/11/1956,Doctor of Jurisprudence in Law,Cross River
Fred Aghogho Brume,PDP,Delta Central,25/09/1942,M.Sc Ind. Management,Delta
Omu Stella,PDP,Delta South,,,Delta
Osakwe Patrick,PDP,Delta North,01/08/1948,Master of Science Degree in International Relations,Delta
Sylvanus Ngiji Ngele,PDP,Ebonyi North,15/06/1952,GCE,Ebonyi
Usulor Obasi Vincent,PDP,Ebonyi Central,15/07/1948,"Bachelor of Law Degree, Barrister at Law",Ebonyi
Anyim Pius Anyim,PDP,Ebonyi South,February 1961,Bachelor of Law Degree i,Ebonyi
Oserheimen A. Osunbor,PDP,Edo Central,05/10/1951,Doctoral Degree in Law,Edo
Owie Roland Stephen,PDP,Edo South,28/08/1945,Bachelor of Arts in Geography,Edo
Victor Kassim Isa Oyofo,PDP,Edo North,11/06/1943,B.Sc. in Petroleum Geology,Edo
Ajayi Joseph Olatunji,AD,Ekiti North,21/08/1940,B.Sc. in Economics,Ekiti
Daniel Gbenga Aluko,PDP,Ekiti South,20/08/1963,Bachelors Degree in Geography & Regional Planning,Ekiti
Oni Ayoade,AD,Ekiti Central,19/11/1939,"B.Sc. in Engineering, M.I.C.E.",Ekiti
Jim Nwobodo,AD,Enugu East,09/05/1940,Bachelor of Arts in English,Enugu
Hyde U. Onuaguluchi,APP,Enugu West,11/11/1949,"Bachelor & Master of Law Degree, M.Sc Bus. Admin. in Finance & Doctoral Degree in Christian Literature",Enugu
Fidelis C. Okoro,AD,Enugu North,,"B.Sc., and M.Sc Business Administration",Enugu
Umaru Usman Dukku,PDP,Gombe North,December 1944,PGD in Public Admin.,Gombe
Saidu Umar Kumo,PDP,Gombe Central,November 1949,HND in Public Admin.,Gombe
Idris Abubakar,APP,Gombe South,13/11/1955,Bachelor of Law Degree,Gombe
Evan Enwerem,PDP,Imo East,29/10/1935,Bachelor of Law Degree,Imo
Ifeanyi G. Ararume,PDP,Imo North,12/12/1958,Master of Science Degree in International Relations,Imo
Arthur Nzeribe,ANPP,Imo West,02/11/1938,WASC,Imo
Bello Maitama Yusuf,APP,Jigawa Central,04/04/1947,LL.D Degree in Law,Jigawa
Muhammed Ibrahim,APP,Jigawa East,1952,GCE,Jigawa
Mohammed D. Alkali,PDP,Jigawa North West,17/01/1950,Diploma in Business Studies (Management),Jigawa
Muktar A. Mohammed,APP,Kaduna Central,05/02/1948,"CPL, ATP, A&E Engineering",Kaduna
Dalhatu S. Tafida,PDP,Kaduna North,24/11/1940,Medical Degree; BS MRCP and Doctor of Philosophy,Kaduna
Haruna Zego Aziz,PDP,Kaduna South,05/07/1942,City & Guilds of London Flying Licences and Mgt Cert.,Kaduna
Masa'ud El-Jibril Doguwa,PDP,Kano South,1955,B.Ed Administration and Planning Degree,Kano
Bello Hayatu Gwarzo,PDP,Kano North,14/04/1960,ND in Statistic,Kano
Ibrahim Kura Mohammed,PDP,Kano Central,1945,Bachelor of Arts in Bus. Administration,Kano
Mohammed T. Liman,PDP,Katsina South,12/02/1948,Master in Public Admin.,Katsina
Samaila Mamman,PDP,Katsina Central,18/07/1945,PGD,Katsina
A. U. Yandoma,PDP,Katsina North,03/07/1953,Advanced Diploma Pub. Admin.,Katsina
Adamu Baba Augie,APP,Kebbi North,,HND in Mass Communication,Kebbi
Abubakar N. Abdullahi,APP,Kebbi Central,30/06/1947,Master of Arts in Dev. Economics,Kebbi
Danladi Bamaiyi,PDP,Kebbi South,26/11/1950,Bachelor of Law Degree,Kebbi
Ahmed Tijani Ahmed,PDP,Kogi Central,29/05/1943,Masters degree in English,Kogi
Alex Usman Kadiri,APP,Kogi East,21/06/1942,Doctorate Degree,Kogi
Jonathan Tunde Ogbeha,PDP,Kogi West,01/09/1947,WASC & Military Diploma,Kogi
Salman Is'haq Adebayo,APP,Kwara Central,13/03/1954,Medical Degree,Kwara
Makanjuola A. Suleiman,APP,Kwara South,03/06/1957,MBA,Kwara
Zuruq Baba Ahmed,PDP,Kwara North,20/10/1951,PGD in Business/Admin. Management,Kwara
Ogunlewe K. Adeseye,AD,Lagos East,05/12/1945,Bachelor Degree,Lagos
Wahab O. Dosunmu,AD,Lagos West,14/05/1939,Doctoral Degree,Lagos
Afikuyomi Tokunbo,AD,Lagos Central,,,Lagos
Haruna Abubakar,PDP,Nasarawa South,06/06/1952,Bachelor of Law Degree & MPE,Nassarawa
Abubakar D. Sodangi,PDP,Nasarawa West,31/01/1954,Bachelor of Law Degree,Nassarawa
Aga Patrict,PDP,Nasarawa North,17/03/1945,Advance Diploma in Social Medicine,Nassarawa
Idris Ibrahim Kuta,PDP,Niger East,01/10/1942,"OND, Diploma in Quantity Surveying, Doctor of Sc. in Quantity Surveying, MNIQS",Niger
Isa Mohammed,PDP,Niger South,28/04/1948,"HSC, WASC",Niger
Nuhu L. Aliyu,PDP,Niger North,13/06/1941,Sch. Cert.,Niger
Otunba Olabiyi Durojaiye,AD,Ogun East,08/02/1933,"B.Sc. Econs., Bachelor of Law Degree and Barr. at Law MNI",Ogun
Femi Okurounmu,AD,Ogun Central,11/08/1939,Doctor of Science in Mechanical Engineering,Ogun
Olabimtan Afolabi,AD,Ogun West,11/06/1932,Doctoral Degree in African Languages,Ogun
Lawrence Olawumi Ayo,AD,Ondo North,23/09/1932,Commercial Sch. Cert.,Ondo
Meroyi S. Omololu,AD,Ondo South,01/01/1950,"M.Sc (Econs, Industrial Relations & Personnel Management",Ondo
Gbenga Ogunniya,AD,Ondo Central,24/09/1949,Bachelor of Arts Degree in Political Science,Ondo
Mojisoluwa Akinfenwa,AD,Osun East,12/07/1933,"Bachelor of Arts in History, Religious and Government",Osun
Sunday Olawale Fajinmi,AD,Osun West,16/11/1952,HND in Marketing,Osun
Salami A. Adebayo,,Osun Central,26/07/1951,HND in Accountancy,Osun
Peter Oluwuyi Adeyemo,AD,Oyo South,01/01/1955,Doctoral Degree in Architecture,Oyo
Lekan Balogun,AD,Oyo Central,18/10/1945,Doctoral Degree in Political Science,Oyo
Brimmo Yemi Yusuf,AD,Oyo North,26/10/1945,WASC,Oyo
Davou D. B. Zang,PDP,Plateau North,23/06/1956,B.Sc. in Management,Plateau
Silas Janfa,PDP,Plateau South,14/07/1942,PGD in Financial Management,Plateau
Ibrahim Nasiru Mantu,PDP,Plateau Central,16/02/1947,"Diploma in Professional Salesmanship, GCE",Plateau
Martyns-Yellowe Ibiapoye S.,PDP,Rivers West,12/11/1945,"Medical Degree, DPM, MRC Psych., EMC Psych.",Rivers
Adawari Michael Pepple,PDP,Rivers South East,30/04/1962,Bachelor of Law Degree,Rivers
John Azuta-Mbata,PDP,Rivers East,03/01/1960,"M.Sc. (Public Admin), Ph.D",Rivers
Aliyu M. Abubakar III,APP,Sokoto North,1942,Diploma in Public and Social Administration,Sokoto
Bello Jibril Gada,APP,Sokoto East,1954,Advanced Diploma in Public Admini (ADPA),Sokoto
Abdallah M. Wali,PDP,Sokoto South,02/02/1960,Master of Business Admin. (MBA),Sokoto
Bala Abdullahi Adamu,PDP,Taraba North,27/11/1958,M.Sc. in Educational Management,Taraba
Abdulazeez A. Ibrahim,PDP,Taraba Central,27/11/1957,Bachelor of Chemical Engineering and Master of Bus. Admin.,Taraba
Dalhatu Umaru Shagari,APP,Taraba South,02/03/1958,Doctoral Degree in Land Resources Development,Taraba
Usman Albishir,APP,Yobe North,15/06/1945,Secondary Sch. Ed.,Yobe
Mamman Bello Ali,PDP,Yobe South,04/04/1958,HND Civil Engineering and B.Sc. (Construction),Yobe
Goni Modu Zanna Bura,PDP,Yobe East,1960,ND in Secretarial Admin.,Yobe
Yushau Moh'd Anka,APP,Zamfara West,19/04/1948,MBA in Petroleum Mngt,Zamfara
"Dansadan, Saidu Muh'd",APP,Zamfara Central,20/06/1953,PGD in Public Admin.,Zamfara
Lawali Shuaibu,APP,Zamfara North,"April 18, 1955",HND in Marketing,Zamfara
Khairat Abdulrazaq,PDP,FCT,,Masters Degree (LL.M),Federal Capital Territory
