Name,Party,Constituency,Date of Birth,Education,State
Akpabio Nsima,NPN,C/River,,,Cross River
Kajal Bitrus Bzigu,GNPP,Mubi,15/05/1943,B.A Administration,Gongola
Waziri Mahmud,GNPP,Adamawa,13/12/1936,"Dip. in Mgt. Studies, Dip. in Transport Studies, Dip. in Business Admin.",Gongola
Audu Rueben John,,Gongola,,,Gongola
Abdulmumini Jungudo S.,,Gongola,,,Gongola
Sawa Randrawus,,,,,Gongola
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,"B.Sc, Aff. ASAE, AMNIM",Imo
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,"Graduate L.L.B, B.L",Imo
Wachukwu Jaja Anucha,NPP,Aba,01/01/1918,L.L.B,Imo
Nzeribe Arthur Francis,,Imo,,,Imo
Ukpabi Christopher,,Imo,,,Imo
Bauru Ibrahim,PRP,Ikara/Zaria/Birnin Gwari,07/01/1936,Pharmacist,Kaduna
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,August 1938,,Kaduna
,,,,,Kaduna
,,,,,Kaduna
,,,,,Kaduna
Zuwo Sabo Bakin,PRP,Kano Central,1934,Local Govt Admin,Kano
,,,,,Kano
,,,,,Kano
,,,,,Kano
,,,,,Kano
Obaro Isa,NPN,Kwara South,20/08/1934,"B.Sc, LLB & BL",Kwara
Olu Justus Olabode,UPN,Kwara South East,28/03/1930,Grade II Cert A/L,Kwara
Saraki Abubakar Olusola,NPN,Ilorin/Asa,17/05/1933,"M.B, B.S, L.R.C.P, M.R.C.S (ENG)",Kwara
Salawu Suleiman Adisa,,Kwara Central,,,Kwara
,,,,,Kwara
Shitta-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,"B.L. Law, L.L.B",Lagos
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,,Lagos
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,,Lagos
Adebanjo Mufutau Olatunde,UPN,Lagos,,,Lagos
Ogidan Jimoh Kolawale,,Lagos,,,Lagos
Gana Jerry Alhassan,,,,,Niger
Ibrahim Idris Kuta,,,,,Niger
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,,Niger
Muazu Abdullahi,NPN,Kontagora,1924,,Niger
,,,,,Niger
Adesanya Abraham Aderibigbe,UPN,Ijebu North-East,24/08/1924,,Ogun
Odebiyi Jonathan A. Olawole,UPN,Egbado North/South,11/03/1923,B.A (Hons),Ogun
Sogbein Samuel Olusanmi,UPN,Odeda/Obafemi/Owode,10/12/1920,,Ogun
Odujinrin Oladipo Olusoga,UPN,,,,Ogun
Agunbiade L. Adekunle,,,,,Ogun
Ogunleye Emmanuel Kayode,UPN,Ondo East,06/05/1934,"L.L.B, B.L",Ondo
Fasanmi Ayo,UPN,Ondo North,27/09/1925,,Ondo
Adeshakin Olagunju,UPN,Ondo,,,Ondo
Adisa Yekinni Adejare,UPN,Ondo,,,Ondo
,,,,,Ondo
Adeleke Ayoola,UPN,Osun II,27/12/1923,Full time Trade Unionism,Oyo
Adesina Olalere Ajibade,UPN,Ibadan,10/02/1931,"B.Sc Econs, L.L.B",Oyo
Ilori Christopher Oladosu,UPN,Ife-Ilesha,27/07/1929,"B.Sc (Agric Sci), Ph.D",Oyo
Akinboro Hezekiah Ademola,NPN,Oshun I,,,Oyo
,,,,,Oyo
Pam John Wash,NPP,Jos,22/10/1940,B.A. (Hons) Int. Affairs,Plateau
Matta Garba,NPP,Pankshin/Mangu/Kanam,21/03/1932,,Plateau
Hoomkwap George Baba,NPP,Shendam,28/12/1942,L.L.B,Plateau
Jibrin Walid,NPP,Plateau,,,Plateau
,,,,,Plateau
Ellah Francis John,NPP,Ahoada/Ikwerre/Etche,04/10/1927,B.A.,Rivers
Nunieh Cyrus Nwidonane,NPN,Rivers IV (Bonny/Bori),05/02/1930,L.L.B & B.L,Rivers
Zuofa Amatari,NPN,Brass/Sagbama/Yenogoa,29/11/1923,B.A Econs,Rivers
,,,,,Rivers
,,,,,Rivers
Abdulkarim Muhtari,NPN,Sokoto East,05/02/1938,Teacher's Grade II,Sokoto
Dabai Isa Abubakar,NPN,Sokoto,,,Sokoto
Abubakar Kigo Dakin-Gari,NPN,Sokoto,,,Sokoto
Bakwai Salihu,NPN,Sokoto,,,Sokoto
Yakwo Daniel,NPN,Sokoto,,,Sokoto
