Name,Party,Constituency,Date of Birth,Education,State
Abdulrahman A. Bobbu,NRC,Gombi,"July, 1960",L.LB,Adamawa
Munun G. Mapundi,NRC,Jada,15/05/1953,Diploma in Tourism,Adamawa
Musa Janro,NRC,Mubi,20/03/1950,"HND in Agriculture, & Advanced Diploma",Adamawa
Aliyu Audu Mustapha,NRC,Macha,1957,Post Graduate Certificate in Theatre Management,Adamawa
Nashon Gubi Nabi,NRC,Mayo Belwa,1948,Grade II Certificate from Numan,Adamawa
Abdulmumini Umar,NRC,Ganye,24/06/1965,LLB,Adamawa
Ethan Yusuf,SDP,Hong,31/12/1947,Diploma in Community Health,Adamawa
Ethan L. Dangtibiya,NRC,Song,1950,N.C.E,Adamawa
Umaru Hamman Tukur,NRC,Fufore,17/03/1960,LL.B,Adamawa
Godwin Puldu,NRC,Guyuk,1946,Grade II Certificate,Adamawa
Agunwa Anaekwe,SDP,Anaocha,27/04/1956,Bachelor of law degree; & Barrister-at-law,Anambra
Ifeoma Olive Chinwuba,SDP,Awka South,09/11/1959,Studied Law,Anambra
Okechukwu D. Umeano,SDP,Oyi,17/10/1957,A graduate of Medicine,Anambra
Lawrence Arinze Abuah,SDP,Onitsha North,30/09/1957,A graduate of Obafemi Awolowo University,Anambra
Philip Obiora Agbasi,SDP,Nnewi South,19/10/1956,A graduate of Pol. Science,Anambra
Nwankwo Nnabuochi,SDP,Akwa North,15/04/1949,A graduate,Anambra
Ezeobi Okpala,SDP,Onitsha,05/05/1962,G.C.E. A'Level,Anambra
Ifeanyi Nwankwu,SDP,Njikoka,24/11/1954,Bachelor of law; & Barrister-at-law,Anambra
Francis Uchenna Okeke,SDP,Aguata federal,11/10/1957,Bachelor of law Degree; & Barrister-at-law,Anambra
Ike Nnadozie Ndujekwu,NRC,Orumba North,17/04/1962,"LL.B (Hons), B. A, LL.M",Anambra
Obi I. Anoliefo,SDP,Idemili,01/05/1942,A graduate of Business Administration,Anambra
Ifeanyi A. U. Auevoru,SDP,Anambra,28/10/1951,A law graduate,Anambra
Mike Ikoku,SDP,Ihiala,,,Anambra
John Obiora Ikechukwu,NRC,Nnewi,,,Anambra
Celestine Obi Olisa,SDP,Ogbaru,,,Anambra
Isaiah Obi,SDP,Orumba South,,,Anambra
Ekong Mex Umoh,NRC,Mkpat Enin,07/07/1942,Diploma in Salesmanship,Akwa Ibom
Nsikan Joseph Nyong,NRC,Uyo,26/03/1964,Secondary School,Akwa Ibom
Uwem U. Uko,NRC,Etinan,August 1937,Diploma in Pub. Admin,Akwa Ibom
Inana D. Akpan,NRC,Ukanafun,22/09/1938,Diploma from Institute of Transport.,Akwa Ibom
Etim Etido Atakpa,NRC,Essien Udim,03/07/1956,A graduate of Mngt. Studies,Akwa Ibom
Okon Ita Essang,NRC,Mbo,03/08/1934,Diploma in Forestry,Akwa Ibom
Etim Edet Esin,NRC,Oron,06/08/1952,Sch.Cert,Akwa Ibom
Aloysius Akpan Etok,NRC,Ikono,15/02/1958,A Graduate of Banking & Finance,Akwa Ibom
Tony Mike Akpan,SDP,Uruan,14/06/1965,A Law graduate with LL.B,Akwa Ibom
Obong B. B. Udoewah,NRC,Nsit-Ubium,02/12/1947,"A Graduate of PFALZ, Majored in Textile Tech.",Akwa Ibom
Udom Sunday J.,SDP,Oruk-Anam,16/04/1950,B.Sc Estate Mgt. & M.Sc (Bus. Admin.),Akwa Ibom
Dan Nkereuwem Okon,SDP,Abak,11/03/1964,Business School Certificate,Akwa Ibom
Udo Marcus Akpan,NRC,Ikot Abasi,12/10/1946,MBA in Banking & Finance,Akwa Ibom
Etukudo Jack Etukudo,SDP,Onna,22/12/1936,A graduate of Business Management,Akwa Ibom
Solomon F. Abasiekong,SDP,Ini,03/11/1955,Ph.D in Agriculture,Akwa Ibom
Michael Lazarus Uwa,NRC,Etim Ekpo,15/03/1958,Bachelor-at-law degree,Akwa Ibom
Christine Akpan,NRC,Itu,31/12/1960,Bachelor of law & Barrister-at-law degree,Akwa Ibom
David Nyong,NRC,Ikot Ekpene,15/03/1959,a Graduate of Philosophy,Akwa Ibom
Joseph S. Bassey,SDP,Okobo,08/02/1953,B.Sc in Metallurgical Engineering,Akwa Ibom
Gabriel Johnson Etuk,NRC,Nsit Ibom,05/09/1957,Bachelor of Law degree & Barrister-at-law degree,Akwa Ibom
Victor A. Okposin,SDP,Eket,28/02/1960,A graduate of College of Medicine,Akwa Ibom
Okon Bassey Etienam,,Urue-Ofong/Oruko,,,Akwa Ibom
Joseph Jimmy Ita,NRC,Uqwa-Ibeno,,,Akwa Ibom
Ubong O. Mbatt,NRC,Ekpe Afai,,,Akwa Ibom
Ahmed Bappa Nafada,NRC,Nafada,1952,Diploma in law,Bauchi
Musa Jubrin Walai,NRC,Itas/Gadau,1956,Grade II Teacher's Certificate,Bauchi
Mamman Magaji,NRC,Katagum,1950,Diploma in law,Bauchi
Abdulkadir I. Gwamna,NRC,Gombe,17/01/1959,Attended Ganya Sec. Sch.,Bauchi
Labaran Muh'd Inuwa,NRC,Darazo,,"B. A (Hons) in Economics/History, Post Graduate Studies in Mktg",Bauchi
Mohammed A. Zabi,NRC,Shira,1950,H.N.D in Civil Technology,Bauchi
Yalwaji Moh'd Sakwa,NRC,Zaki,10/02/1952,H.N.D in Telecommunication Engineering,Bauchi
Babayo Adamu Udubo,NRC,Gamawa LGA,22/02/1957,B. A (Hons) in Education,Bauchi
Jack G. Gumpy,NRC,Balanga,1944,B.Sc in Education,Bauchi
Ibrahim Kadiri,SDP,Tafawa Balewa,06/04/1958,Masters degree in Physical Education,Bauchi
Isimila Mohammed,NRC,Dukku,1957,Secondary School Cert.,Bauchi
Umar Usman Lamido,NRC,Akko,1954,Bachelors degree in Business Administration,Bauchi
Gidado H. Muhammed,NRC,Jama'are,1960,B.Sc in Political Science,Bauchi
Idris Abdullahi Kufa,NRC,Alkaleri,1960,B.Sc in Accountancy,Bauchi
Wada Tawar Umbi,NRC,Billiri,1957,LL.B (Hons); & BL,Bauchi
Alhaji Salihu Adamu,NRC,Ningi,02/11/1944,Diploma in Accounts/ Audit,Bauchi
Adamu Lapidi Jalan,NRC,Misau,15/01/1954,Diploma in Personnel Mgt / Inds Relations,Bauchi
Isa Yakubu Toro,NRC,Toro,1949,Diploma in weights & Measures,Bauchi
Muhhammed A. Wandi,NRC,Dass,01/11/1943,P.G.D in Int'l Relations.,Bauchi
Yahaya Moh'd Imam,NRC,Ganjuwa,27/07/1963,"Govt. Sec. School, Hotels Training School.",Bauchi
Isa Musa Maton,NRC,Bauchi,,,Bauchi
Idris Abubakar,NRC,Kalyungo,,,Bauchi
Mohammad Kwadon,NRC,Yamaltu/Deba,,,Bauchi
Clement Tsetse Ayabuba,NRC,Gwer East,10/10/1952,Diploma in Cooperative Studies,Benue
Matthew I. Ojabo,SDP,Okpokwu,10/01/1948,B.Sc (Hons) in Management Science,Benue
Terhemba Shija,SDP,Vandai Kya,23/11/1960,M.A in Creative Writing,Benue
Ajene Ogiri,SDP,Oju,12/02/1957,"B.Sc Pol.Sc, M.Sc Int.Rels",Benue
Rebecca M. Apedzan,SDP,Makurdi,,Diploma in Nursing,Benue
Atighur Shaguy,SDP,Gboko,22/11/1951,,Benue
Atta S. Kwaghtse,SDP,Ower West,25/11/1955,B.A English/Education,Benue
Obochi Donatus Udama,SDP,Ogbadibo,20/03/1950,Masters Education Admin,Benue
Abiche Samule Adole,SDP,Apa,13/07/1954,"Master of Education, Ex. Physiology",Benue
Ada Mark,SDP,Otukpo,28/08/1966,"Bachelor of Arts Degree in Theatre Arts, an OND in Mass Comm.",Benue
Augustine Azer Igba,SDP,Konshisha,1949,B.Sc Agriculture,Benue
Terdoo Angagh,SDP,Katsina-Ala,14/12/1958,Master degree in Adult Education,Benue
John M. Awange,SDP,Guma,20/03/1952,Certificate Diploma,Benue
Orbunde Terwase,SDP,Kwande,19/07/1959,B.Sc Agriculture,Benue
Bernard A. Ochepa,SDP,Ado,17/01/1964,HND Estate Management,Benue
Upper I. Edward,SDP,Ukum,06/12/1946,Masters degree in Manufacturing,Benue
Jonathan Tarhule,SDP,Ushongo,18/11/1943,M.Ed,Benue
Gideon Adzer Abya,SDP,Bukuru,,,Benue
Ibrahim Musa Bwala,NRC,Hawul,1964,"Certificate in Commerce & Economics, G.C.E O/L Holder",Borno
Bukar Modu Titiwa,SDP,Megumeri,28/12/1952,Graduate,Borno
Tijani Moh'd Adam,SDP,Marte,Jan 1952,"Graduate, Diploma Community Health.",Borno
Ularam Medugu,SDP,Askira/Uba,1959,"NCE, Bachelor Degree in Education",Borno
Umar Mustapha,NRC,Bama,26/04/1957,HND in Global Procurement of Goods & Services,Borno
Usman M. Mafa,SDP,Mafa,05/03/1959,Graduate,Borno
Samson Dibal Wandali,SDP,Kwayakusar,08/01/1955,Diploma in Purchasing & Supply,Borno
Modu M. Dikwa,SDP,Dikwe,1960,National Diploma in Integrated Rural Dev.,Borno
Mallum Sharang,SDP,Shani,15/05/1945,Associate Degree in Engineering Technology,Borno
Mohammed Bello,SDP,Damboa,1958,School Cert.,Borno
Baba Gana Modu,SDP,Nganzai,16/05/1967,A certificate in Accountancy,Borno
Umar Kassim Ibrahim,SDP,Biu,30/11/1958,B.Sc in Building Engr.,Borno
Rabi Allamin,SDP,Maiduguri,01/11/1963,B.A in English; & M.A in English,Borno
Moh'd Tahir Monguno,SDP,Monguno,05/07/1966,Bachelor of law; with Barrister-at-law,Borno
Maina Mastapha Baga,SDP,Kukawa,1960,NCE,Borno
Goni A. Ali,SDP,Mobbar,1961,Diploma in Law,Borno
M. Yakub Mohammed,NRC,Kaga,1952,Diploma in Prim. School Supervision/Admin.,Borno
Mohammed M. Tumala,SDP,Gwoza,13/04/1964,B.Sc in Statistics; Master of Science,Borno
Abba S. Gubio,SDP,Gubio,1962,Diploma in Adult Ed.,Borno
Dunoma Umara,NRC,Konduga,1953,Diploma in Business Studies,Borno
Kabir Lawan,SDP,Ngala,,,Borno
Daniel Oza Bassey,,Abi,09/05/1954,B.A in Pol. Science/History,Cross River
Ibeshi E. Awhan,SDP,Obudu,14/08/1961,B.A in Theater Arts,Cross River
Daniel B. Ekpenyong,NRC,Akpabuyo,25/11/1950,B.Sc in Chemistry & Education,Cross River
Tangban Ayuk Ojong,NRC,Ikom,21/03/1952,B.Sc in Pol. Science & Administrative Studies,Cross River
Ofem Ikpi Ofem,NRC,Yakurr,02/02/1964,"Bachelor of law degree, with barrister-at-law",Cross River
Moses Wonah Oko,NRC,Ogoja,02/12/1958,B.A in History/English,Cross River
Irek Eden Ernest,NRC,Obubra,12/07/1958,HND in Mass Communication,Cross River
Ekpo Ekpo Okon,NRC,Odukpani,31/05/1960,"HND Mass Com.; TV College, Jos",Cross River
Florence Ita-Giwa,NRC,Calabar,19/02/1946,Diploma in Gen. Nursing & Diploma in Medical Secretaryship,Cross River
Chris Eriba,SDP,Yala,10/01/1955,B.A Hons in History; Master of Arts,Cross River
Ajah Ekpeni Obia,SDP,Biass,06/10/1959,"B.Sc. in Architecture, M.Sc (Architecture)",Cross River
Augustine Ugar Ogogo,SDP,Obanliku,16/06/1955,"B.Sc., M.Sc (Forestry) / Wild Life",Cross River
Denis Enyam Nkiri,NRC,Akamkpa,29/06/1962,National Certificate of Education,Cross River
Oshita O. Oshita,NRC,Boki,14/06/1962,B.A in Philosophy,Cross River
Okpohworhu A. Alfred,SDP,Ughelli North,16/10/1957,LL.B; Master of Law degree,Delta
Kerry George I.,SDP,Ika North-East,09/11/1937,"MB, BS",Delta
Odhegolor A. Lucky,SDP,Isoko North,02/03/1953,B.Sc. in Biology,Delta
Christopher Chiedu A.,SDP,Aniocha South,13/04/1956,MBA Marketing; Diploma in Marketing.,Delta
Edijala John Vote,SDP,Ughelli South,21/06/1957,B.Sc. Electrical Engineering,Delta
Chukwuji G. Adigwe,SDP,Aniocha North,03/11/1941,Accountancy (Major),Delta
Edojah S. Odeyovwi,SDP,Ethiope East,03/03/1958,B.Sc. Business Admin.,Delta
Peter Y. Biakpara,SDP,Burutu,25/03/1947,Diploma in Aeronautical Engineering,Delta
Sam Osasa,NRC,Ndokwa West,07/12/1956,B.Sc. in Sociology; LL.B; BL,Delta
Uwadinisu Onyenokwe,SDP,Ndokwa East,28/12/1931,Bachelors degree in Education,Delta
Sunday Urunoghoresan,SDP,Warri South,24/04/1932,H.N.D in Accountancy,Delta
Emeye Augustine Kim,SDP,Ika South,15/08/1940,yy,Delta
Gbegbaje-Das One,NRC,Okpe,08/03/1940,B.Sc Agriculture,Delta
Godwin Ejoh,SDP,Ethiope West,12/12/1942,LL.B; B.A in Economics/Politics,Delta
Akangbou E. Joseph,SDP,Bomadi,15/11/1952,B.Sc. in Industrial & Pure Chemistry,Delta
Gordon M. Ogbedogor,SDP,Isoko South,28/02/1936,MBA in Business Admin.,Delta
Omiretsule Jemide,SDP,Warri North,,,Delta
Edesin Sylvanus Azigbo,SDP,Sapele,,,Delta
Mike A. Orieso,SDP,Esan South East,1948,B.A in History/Pol. Science,Edo
Onaiwu E. Giwa-Osagie,SDP,Ovia North East,16/04/1937,LL.B (Hons) & a B.L,Edo
Ogedegbe A. Otaniyen,SDP,Orhionmwon,01/01/1952,M.Sc Zoology,Edo
Aigbogun Ehizogie,NRC,Esan Central,08/03/1942,LL.B; B.L; M.A,Edo
Ogona Daniel Ehimare,SDP,Esan West,15/03/1939,F.C.A.,Edo
Aigbo K. H. Onagbon,SDP,Oria South West,01/01/1954,H.N.D in Civil Engineering,Edo
Davidson Oputteh,SDP,Etsako East LGA,15/12/1954,B.Sc in Pol. Science; M.P.A; an LL.B; B.L,Edo
Philip E. F. Edorhe,SDP,Owan East,07/09/1940,LL.B (Hons); BL in Law,Edo
Arc. Benedict E. A. Omiyi,SDP,Esan north East,29/04/1938,M. Sc. in Urban Dev. Planning,Edo
Anthony Iyen,SDP,Uhunmwode,16/01/1946,,Edo
Samuel Ayo Sada,SDP,Akoko-Edo,03/09/1939,H.N.D,Edo
Ezekiel O. Orhenvba,SDP,Owan West F.C.,21/09/1950,M.T.O.B,Edo
Abdul-Rahman Kadiri,SDP,Etsako West,12/02/1961,LL.B (Hons),Edo
Ambrose Osawe,SDP,Oredo,13/08/1946,M.A in Publishing,Edo
Nworie Amos,NRC,Ikwo,26/12/1963,Studied Micro Biology,Enugu
Ugwa Frank Uchenna,NRC,Isi-Uzo,21/07/1960,B.Sc. in Estate Mgmt; PGD in Education; Master of Pub. Admin,Enugu
Mgbada Felix Nwigwe,NRC,Ezza,25/11/1950,A graduate of zoology & Law,Enugu
Onyia Gideon T. Dubem,SDP,Enugu North,23/02/1952,A Fellow of Institute of Admin. Accountants,Enugu
Chuka Ezema,NRC,Igboeze South,12/06/1958,Post Graduate Qualification in Pest Control,Enugu
Charles O. Ayalogu,NRC,Udi,07/08/1962,B.Sc. In Political Science,Enugu
Adum Matthias J. N.,SDP,Abakaliki,17/10/1964,A graduate of Agriculture,Enugu
Jonas Onyeka Chukwu,NRC,Awgu,06/07/1964,A graduate of Chemical Engineering,Enugu
Okechukwu Arumona,NRC,Uzo-Uwani,22/02/1940,A graduate of Religion,Enugu
Ikechukwu Ugwu C.,NRC,Igbo-Eze North,07/05/1964,Read Biology,Enugu
Iyi Samuel I.,SDP,Ohaukwu,16/08/1956,NCE (English Major),Enugu
Anayo Edeh,NRC,Nkanu,07/05/1961,Business Admin. Graduate,Enugu
Cosmoas C. Eziechi,NRC,Ezeagu,01/02/1961,A Pol. Science Graduate,Enugu
Isha Aramigbo Anthony,SDP,Izzi,21/11/1952,Diploma in Marketing,Enugu
Nico Agbo,SDP,Enugu South,11/04/1962,Attended UNICAL & Nigerian Law School,Enugu
Madueke C. Obi,NRC,Oji River,25/07/1951,P.G.D in Computer System Analysis & Design,Enugu
Agbo G. Chukwuemeka,NRC,Nsukka,25/12/1943,B.L (Hons) in Law,Enugu
Chris Ptaka Nnadi,NRC,Igbo Etiti,,,Enugu
Ama Nwauwa,NRC,Oguta,02/05/1963,B.L,Imo
Bonny O. Uzoma,NRC,Nkwerre,15/06/1949,MCP,Imo
Ibe Okechukwu,NRC,Ideato North,01/01/1957,DVM; (MD) Angiology Specialist,Imo
Hilary A. Ihenachor,NRC,Orlu,29/11/1947,Doctorate Degree in Pol. Science,Imo
Ndubueze Patrick C.,NRC,Okigwe,24/02/1963,ND in Civil Engineering,Imo
Basil O. Okafor,NRC,Ihitte/Uboma,13/08/1958,LL.B,Imo
Akubuo A. U.,NRC,Isu,10/06/1952,Studied Medicine,Imo
Ignatius Onyejekwe,NRC,Orsu,04/10/1958,LL.B,Imo
Chris C. Asoluka,NRC,Owerri,01/05/1955,B.A Pol. Sci; M.Sc; LL.B; Masters degree in Shipping,Imo
Ononuju Ernest,NRC,Mbaitoli,22/11/1948,Medical Doctor,Imo
Livinus M. Okereafor,NRC,Ngor Okpala,25/12/1938,B.A degree (English/History),Imo
Ndugbu Columba,NRC,Ahiazu,07/04/1934,B.Sc. (Econs); A.C.S & ICAN III,Imo
Unaogu A. Lazarus,NRC,Ikedura,27/02/1956,B.Sc. (Physics); Ph.D (Physics),Imo
Iwuchukwu Ambrose,NRC,Ideato-South,22/11/1952,MB.BS,Imo
Amanfo C. Virginus,NRC,Oru,22/11/1949,Doctorate degree in Banking & Economics,Imo
Elias Osuagwu,NRC,Ehime Mbano,03/11/1946,HND in Accountancy & Business Administration,Imo
Amadi Chidi Paschal,SDP,Aboh Mbaise,25/04/1960,HND in Building Tech.,Imo
Okazie Jude Chimah,SDP,Ezinihitte,12/12/1942,A graduate (Animal Husbandry),Imo
Festus N. Edomobi,NRC,Obowu,01/01/1942,Graduated in Estate Mgt,Imo
Ekeordu Peter Lucky,SDP,Ohaji/Egbema,21/02/1950,NCE,Imo
Mishael O. Mbaike,NRC,Isiala Mbano,23/03/1943,Law degree,Imo
Lili Garbari,SDP,Jahun,1933,,Jigawa
Ya'u Yakubu Kanya,SDP,Birniwa,30/09/1958,ND in Accountancy,Jigawa
Sani Mahmoud,NRC,Babura,1949,NCE; Advanced Diploma in Public Administration,Jigawa
Adamu Abdullahi,NRC,Hadejia,1950,N.C.E; B.A in Library Science,Jigawa
Yanusa M. Baskuwa,NRC,Kafin Hausa,1955,Grade II Teacher's Certificate,Jigawa
Awaisu Hudu Sakwaya,SDP,Dutse,20/02/1961,"Attended Govt. Science Sec. Schl, Azaize",Jigawa
Mohammed Garki,SDP,Garki,22/04/1951,HND in Sec. Studies,Jigawa
Shehu Adamu Kasaure,SDP,Kazaure,1942,Diploma in Civil Eng.,Jigawa
Nasiru Mohammed,SDP,Gumel,1960,NC in Education,Jigawa
Mohammed I. Gabarin,SDP,Ringim,1960,Secondary School Ed.,Jigawa
Ahmed Aliyu Maje,SDP,Taura,,N.C.E & B.Sc. in Ed./Biology,Jigawa
Sirajo C. Farindutse,SDP,Gwaram,19/03/1957,HND in Animal Health & Husbandry,Jigawa
Abubakar I. Korayal,SDP,Gwiwa,12/01/1944,Sec. Edu.; Teachers College,Jigawa
Bashari Abdullahi,SDP,Sule Tan-Karkar,1966,Bachelors degree in Agriculture,Jigawa
Usman M. Kiri-Kasamma,,Kirikasamma,12/12/1949,N.C.E; B.A in Education,Jigawa
Garba Iliyasu Damai,SDP,Birnin Kudu,10/08/1952,N.C.E,Jigawa
Ma'aruf M. Roni,SDP,Roni,01/10/1961,N.C.E in Economics,Jigawa
Aminu Umaru Sidi,,Kaugama,02/04/1957,Bachelors degree in Political Science,Jigawa
Ahmed Ahmed Safio,SDP,Maigatari,10/05/1960,Diploma in Business Administration,Jigawa
Sule Daini Aliyu,SDP,Kiyawa,,,Jigawa
Ahmed Abdullahi,SDP,Mull Mudori,,,Jigawa
Suleiman Tanimu,NRC,Lere,15/04/1956,Certificate & Diploma in Computer & Accountancy,Kaduna
Chanchok Caleb Audu,SDP,Zangon Kataf,27/03/1957,B.A History,Kaduna
Zakariya J. Shamaki,SDP,Kauru,26/11/1956,Bachelors degree in History,Kaduna
Boniface I. Garba,SDP,Jema's,02/03/1962,Secondary School,Kaduna
Mark Jacob Gadani,SDP,Chikun,13/02/1964,NCE in English/History,Kaduna
Joseph Citta,SDP,Kachia,1962,A Graduate of Law,Kaduna
Zuwahu V. B. Ninyio,SDP,Kaduna South,20/03/1960,B.Sc. In Internl. Studies,Kaduna
Jonathan Jatau Labi,SDP,Kaura,12/05/1949,Higher Diploma in Advertising & Mktg,Kaduna
Salihu Musa Auchan,SDP,Ikara,03/05/1957,Bachelors degree in History & Arabic Studies,Kaduna
Magaji T. Yakawada,SDP,Giwa,13/11/1959,Masters degree in African Language,Kaduna
Bashiru I. Sakadabi,SDP,Sabon Gari,13/07/1966,School Certificate,Kaduna
Dalhatu M. Gimba,NRC,Soba,,,Kaduna
Ibrahim Mohammed,NRC,Birnin Gwari,1954,Diploma in Community Health,Kaduna
Adamu Kuri Gwari,NRC,Jaba,01/10/1951,Diploma in Bus. Studies & Public Accounting,Kaduna
Habibu Sani,NRC,Igiabi,15/06/1965,Bachelor degree in History,Kaduna
Muhammadu Hussaini,NRC,Igiabi Federal,,,Kaduna
Abdulkadir S. Usman,NRC,Zaria,,,Kaduna
Edward Gamba,SDP,Doka/Kawo,,,Kaduna
Sani Bala Dausara,SDP,Yadakuwya,15/02/1958,Secondary School Cert,Kano
Muhammed Abubakar,SDP,Tofa,05/06/1964,B.Sc Electrical,Kano
Murtala Musa Bagwai,NRC,Bagwai,1955,Grade II Teacher's Certificate,Kano
Abdul-Aziz Adamu Gano,NRC,Dawakin-Kudu,1955,Grade II Certificate,Kano
Sidi Mustapha Karaye,NRC,Karaye,20/08/1949,Attended Wuchi Teachers' College,Kano
Mustapha B. Yunusa,SDP,Tsanyawa,,Diploma in Forestry,Kano
Adamu Kaka Isangaya,NRC,Albasu,1960,B.SC. In Agriculture,Kano
Balliya Alasau Dawanay,SDP,D/Tofa,04/06/1955,Teachers' Education Certificate,Kano
Isyaku A. Ali,SDP,Gezawa,20/12/1964,WASC,Kano
Tafida Nainna Danbatta,NRC,Danbatta,1952,NCE,Kano
Rabiu Musa,SDP,Madobi,21/10/1956,PHD in Engineering,Kano
Ya'u Tsoho Zakirai,NRC,Gabasawa,1954,Grade II Certificate,Kano
Suleiman Abdullahi,NRC,R/Gado,1954,B.Sc. in Economics & Business Admin,Kano
Shehu Ibrahim Zimit,SDP,Dala,20/10/1962,Diploma in Insurance,Kano
Umar Faruk H. Gwarzo,SDP,Gwarzo,1960,B.A Education,Kano
Nasiru Halliru,NRC,Warawa,1958,B.A Education,Kano
Nura M. Dankadai,NRC,Tudun Wada,02/03/1962,HND in Graphics,Kano
Muhammed A. Inuwa,NRC,Gaya,05/04/1962,Diploma in Agriculture,Kano
Musa Issau K. Rano,SDP,Rano,1957,Grade II teacher’s Certificate,Kano
Murtala Moh'd Hotoro,SDP,Nassarawa,1956,ND Community Dev. & Adult Education,Kano
Rufui Sani Hanga,SDP,Kumbotso,18/08/1954,MBA in Accountancy,Kano
Alhassan Ado D/Kowa,SDP,Doguna,04/08/1965,Bachelors degree in Mass Communication,Kano
Yusuf B. Kuki,NRC,Bebeji,10/02/1962,N.C.E in Housa/Islamic Studies,Kano
Nasiru Bau Durbande,NRC,Takai,22/04/1958,Secondary School Cert.,Kano
Bala Salisu Kosawa,SDP,Kura,08/01/1956,ND in Agriculture,Kano
Nuhu Sa'ad Sarina,NRC,Wudil,11/09/1960,O.N.D in Purchasing & Supply,Kano
Suleiman Abdulahi,NRC,R/Gado,,,Kano
Mohammadu Gwaneri,SDP,Bunkure,,,Kano
Aminu Sule Garo,NRC,Kiru,,,Kano
Aliyu Ahmed Yako,SDP,Kiru,,,Kano
Sani Aliyu,SDP,,,,Kano
Musa Sulaiman Shanono,NRC,Shanono,1949,"H.N.D; P&S, in History",Kano
Wada Yola,SDP,Kano Municipality,,,Kano
Jibo Ishaku Gasgena,NRC,Kingbir,,,Kano
Mustapha Bature Sani,NRC,Batsari,1956,A Graduate of English/Ed.,Katsina
Bala Aliyu Kuki,SDP,Dutsin-Ma,1952,NCE,Katsina
Kabir Jibrin Tandama,NRC,Danja,,Graduate,Katsina
Tukur Bello Kankara,NRC,Kankara,31/01/1956,Diploma Hotel and Mgt,Katsina
Bashir Danjuma,NRC,Kurfe,"June 22, 1966",He studied Hausa/Arabic,Katsina
Aminu Lawal Zango,SDP,Zango,31/01/1958,Graduate,Katsina
Kallah Yahaya Kayawa,NRC,Mashi,1947,HND in Animal Science,Katsina
Kabir A. Damusa,NRC,Safana,25/09/1958,History Graduate,Katsina
Umar Adamu,SDP,Rimi,"May 15, 1956",First School Leaving Cert.,Katsina
Abdul Umar Yandoma,SDP,Ingawa,03/07/1953,"MBBS, FRCS.",Katsina
Garba Sule Tabanni,NRC,Musawa,1954,Read Hausa/Arabic,Katsina
Ahmed B. Magaji,NRC,Maidaduwa,27/05/1952,NCE and Obtained a B.L.S.,Katsina
Jafaru A. Balarabe,NRC,Faskari,20/05/1956,Secondary School Cert.,Katsina
Isah Aliyu Mahuta,NRC,Funtua,1960,Attended Teacher's College,Katsina
Adamu Sule Jibia,SDP,Jiba,01/01/1956,Majored in Maths,Katsina
Mariya I. Abdullahi,NRC,Bakori,12/11/1954,Diploma Television Production.,Katsina
Ibrahim Mulumfashi,NRC,Malumfashi,01/11/1948,Certificate of Proficiency from Nigerian Railway,Katsina
Dahiru Dayyabu,NRC,Kafur,27/04/1964,National Cert. of Ed.,Katsina
Badaru H. Matazu,NRC,Matazu,1943,International Certificate in Social Welfare,Katsina
Ahmed A. Bindawa,NRC,Bindawa,13/07/1963,Degree in Geography,Katsina
